ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
149944486 , Skansemyrsveien 4 - midt mellom Fisketorget og Fløien, en unik mulighet for den som ønsker en perfekt beliggenhet! , Skansemyrsveien 4, Bergen , 76 m² , 9 500 000 kr , Totalpris: 9 549 412 kr , PrivatMegleren Vikebø & Jørgensen Nybygg
120666201 , Søreide :- Kun 4 ledige leiligheter ledig. Leilighetene er oppgradert med flott kjøkken og parkering med el-bil lader. Kontakt megler for privatvisning. , Ruskeneshaugen, Søreidgrend , 53 - 70 m² , 2 700 000 - 3 550 000 kr , Eier (Selveier) • Leilighet , EiendomsMegler 1 Nybygg Bergen
174962546 , Solheimsviken - Innbydende 3-roms selveierleil - Sentral beliggenhet - Nytt kjøkken i 2019 - Nye overflater og peisinnsats - Terrasse , Lien 22A, Bergen , 47 m² , 2 290 000 kr , Totalpris: 2 358 792 kr , PrivatMegleren Vikebø & Jørgensen
166764446 , Nyborg - Flott enebolig med 5-soverom. Nytt bad i 2015, utsikt mot Veten og utleiedel i kjeller (ikke godkjent). , Nordre Langarinden 63, Nyborg , 149 m² , 4 250 000 kr , Totalpris: 4 357 420 kr , EiendomsMegler 1 Åsane
174905879 , Lys og pen 2-roms leilighet med sentral beliggenhet| Innglasset altan | Heis i bygget , Mannsverk 4, Bergen , 63 m² , 2 390 000 kr , Totalpris: 2 594 045 kr • Fellesutg.: 4 451 kr , Eiendomsmegler Vest Nesttun
174951276 , Blomsterdalen - Enebolig m/landlig beliggenhet og gode solforhold | Dobbelgarasje | Hage , Skagevegen 83C, Blomsterdalen , 257 m² , 6 950 000 kr , Totalpris: 7 139 392 kr , PrivatMegleren Syd
174941379 , Nordås - Flott enderekkehus med flere solrike uteplasser og en ypperlig beliggenhet i barnevennlige omgivelser , Nordåsvegen 207, Rådal , 128 m² , 4 790 000 kr , Totalpris: 4 921 292 kr , PrivatMegleren Vikebø & Jørgensen
141789930 , Sandviken - Flott 4- roms leilighet med nydelig utsikt over innseilingen i byfjorden. Sentral beliggenhet og nærhet til byfjellene! , Munkebotn 43, Bergen , 93 m² , 5 590 000 kr , Totalpris: 5 731 092 kr • Fellesutg.: 1 500 kr , Krogsveen avd. Bergen Sentrum
147451792 , 2-roms hjørneleilighet med sentral beliggenhet på Kronstad |  HVL og bybane like ved | Kort vei til Haukeland sykehus , Bjørnsons gate 32, Bergen , 49 m² , 2 200 000 kr , Totalpris: 2 263 322 kr • Fellesutg.: 1 522 kr , EIGEDOMSMEKLING SOGN OG FJORDANE AS
174339926 , Loddefjord - To-roms andelsleilighet i et trivelig borettslag. Stor terrasse med gode solforhold. Kort vei til buss og Vestkanten sen , Vadmyrveien 73B, Loddefjord , 60 m² , 1 650 000 kr , Totalpris: 1 821 457 kr • Fellesutg.: 4 130 kr , DNB Eiendom AS
170391810 , Skage/Blomsterdalen - Innholdsrik enebolig over tre etasjer i landlige omgivelser. Stor hage & godt med parkering. Skole & barnehage like ved! , Skagevegen 74, Blomsterdalen , 191 m² , 3 990 000 kr , Totalpris: 4 090 920 kr , EiendomsMegler 1 Fana
174901249 , Flott 2-roms leilighet i byggets 7.etasje - Heis - Flott bad fra 2017 - Balkong på 15m² - Attraktiv beliggenhet! , Ture Nermans vei 9, Fyllingsdalen , 60 m² , 2 000 000 kr , Totalpris: 2 419 906 kr • Fellesutg.: 4 967 kr , DNB Eiendom AS
172100892 , V/ Brann Stadion - Stor selveierleilighet med sentral beliggenhet - innredet loft med kjøkken - garasje - to balkonger - gode solforhold , Gimleveien 97, Bergen , 96 m² , 4 450 000 kr , Totalpris: 4 569 292 kr • Fellesutg.: 1 200 kr , DNB Eiendom AS
172017390 , Fyllingsdalen - Flott endeleilighet med nytt bad fra 2018 og solrik altan. Sentralvarme og varmtvann inkl i felleskostnadene. , Ture Nermans vei 9, Fyllingsdalen , 44 m² , 1 500 000 kr , Totalpris: 1 804 419 kr • Fellesutg.: 3 607 kr , Privatmegleren Vest
174909813 , SALHUS / ÅSANE - Pen og innholdsrik 4(5) roms. Er oppusset i 2019 og i 2016/17. To soverom. Generelt gode kvaliteter. Busstopp rett ved , Salhusvegen 205 - Seksjon 2, Salhus , 76 m² , 1 650 000 kr , Totalpris: 1 692 592 kr , DNB Eiendom AS
174906273 , Velholdt rekkehus i Åsane. Særlig barnevennlig strøk. Sikker skolevei. Mange barn. Flott turterreng. Svært solrik. , Åmundsdalen 27, Ulset , 122 m² , 2 750 000 kr , Totalpris: 3 290 126 kr • Fellesutg.: 6 902 kr , Selgboligselv.no
174809158 , Lekker 2-roms leilighet fra 2016 - Gjennomgående høy standard - Heis - IN-ordning - Ingen Dok.avgift! , Møllendalsveien 62D, Bergen , 40 m² , 1 350 000 kr , Totalpris: 2 758 960 kr • Fellesutg.: 4 952 kr , EiendomsMegler 1 BOB
174527590 , Lekker 2-roms leilighet med gjennomgående god standard og planløsning. sentralvarme og varmtvann(A-konto). Heis. , Myrdalskogen 24, Ulset , 54 m² , 1 800 000 kr , Totalpris: 2 272 009 kr • Fellesutg.: 4 504 kr , EiendomsMegler 1 BOB
174903389 , Tre-roms selveiende leilighet med tilleggsareal i kjeller på 32 kvm. Altan med flott utsikt og gode solforhold. , Midtunvegen 23, Nesttun , 62 m² , 2 390 000 kr , Totalpris: 2 461 292 kr • Fellesutg.: 233 kr , Privatmegleren Vest
174941379 , Nordås - Flott enderekkehus med flere solrike uteplasser og en ypperlig beliggenhet i barnevennlige omgivelser , Nordåsvegen 207, Rådal , 128 m² , 4 790 000 kr , PrivatMegleren Vikebø & Jørgensen , Eier (Selveier) • Rekkehus • 4 soverom
174902037 , Nesttun - Stor terrasseleilighet med 3 soverom, 2 bad, fast garasjeplass, gode solforhold og fin utsikt. , Nedre Kirkebirkeland 37, Nesttun , 115 m² , 3 690 000 kr , Totalpris: 3 793 792 kr • Fellesutg.: 2 705 kr , PrivatMegleren Syd
173104967 , HOP - Enebolig med stor tomt og strålende beliggenhet. Stor og solrik terrasse på hele 94 kvm. , Venåsen 8, Paradis , 194 m² , 6 500 000 kr , Totalpris: 6 675 170 kr , Eiendomsmegler Vest Nesttun
172245476 , NB: Kun visning ved påmelding - Strøken enebolig oppusset i 2019/2020 | Garasje, 4 soverom og 2 stuer. Barnevennlig og attraktivt villastrøk. , Bønesberget 17, Bønes , 188 m² , 7 900 000 kr , Eier (Selveier) • Enebolig • 4 soverom , PrivatMegleren Nord
167839781 , NB: Kun visning ved påmelding - Arkitekttegnet enebolig på stor solrik utsiktstomt | Carport, vestvendt terrasse og hage. Barnevennlig. , Østre Stiaberget 62, Godvik , 217 m² , 5 990 000 kr , Eier (Selveier) • Enebolig • 4 soverom , PrivatMegleren Nord
