ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
174903577 , OKSTAD - NYOPPUSSET 4-R SELVEIER MED HEIS OG GARASJEPLASS - Kjøkken fra 2017 - Bad oppusset i 2018 - Gode sol- og utsiktsforhold , Okstadplassen 37 B, Tiller , 79 m² , 3 190 000 kr , Fellesutg.: 3 000 kr , Meglerhuset Nylander avd Heimdal
174503543 , Flott 3-roms leilighet med stor markterrasse i et attraktivt boligområde - Lave felleskostnader - Gode bussforbindelser , Saupstadringen 65 B, Saupstad , 84 m² , 1 690 000 kr , Totalpris: 1 847 958 kr • Fellesutg.: 4 797 kr , EiendomsMegler 1 avd. Trondheim Syd/Heimdal
174908669 , Møllenberg - Oppgradert 2-roms | God planløsning | Kjøkken TG1 | 2. etasje | Flott bakgård , Øvre Møllenberg gate 55A, Trondheim , 42 m² , 2 490 000 kr , Totalpris: 2 642 489 kr • Fellesutg.: 2 892 kr , Heimdal Eiendomsmegling AS, Hovedkontor Trondheim
168606140 , Lund Østre/Heimdal - Eksklusiv og nyoppført leilighet i 5. etasje med to balkonger á 23 og 5m².  Utsøkt utsikt. Heis. P-kjeller. Lave omk. , Jernkisvegen 7, Heimdal , 104 m² , 5 690 000 kr , Totalpris: 5 719 620 kr • Fellesutg.: 3 431 kr , PrivatMegleren Trondheim
173620097 , Hallset - TOPPLEILIGHET MED FANTASTISKE SOL-OG UTSIKTSFORHOLD - 35M² TERRASSE- KORT VEI TIL BUTIKK, MARKA OG MANGE FASILITETER , Waldemar Aunes veg 8 A, Trondheim , 34 m² , 1 650 000 kr , Totalpris: 1 771 943 kr • Fellesutg.: 3 151 kr , EiendomsMegler 1 avd. Trondheim Sentrum
174562886 , Solsiden - STILIG 2-ROMS FRA 2006 MED BALKONG PÅ IDYLLISKE SOLSIDEN. Herlig utsikt. "Alt" inkl. i felleskost. Fjernvarme. Heis. , Dyre Halses gate 7, Trondheim , 38 m² , 1 750 000 kr , Totalpris: 2 616 698 kr • Fellesutg.: 7 712 kr , EiendomsMegler 1 avd. Trondheim Sentrum
174616091 , SOLSIDEN - Flott leilighet i 4. etg. med fin utsikt mot Nidelva og byen - 2 sov - P-plass med el-lader - Nytt bad - Gode solforhold , Dokkgata 2C, Trondheim , 84 m² , 7 400 000 kr , Totalpris: 7 586 342 kr • Fellesutg.: 4 183 kr , DNB Eiendom AS
174904239 , Stokkbekken - Stor og innholdsrik enebolig | Vestvendt terrasse | 3 stuer | 5 soverom | 3 bad | Inngang fra garasje , Gamle Jonsvannsveien 133, Trondheim , 267 m² , 6 690 000 kr , Totalpris: 6 868 320 kr , Heimdal Eiendomsmegling AS avd Heimdal
174903933 , Tiller - Romslig rekkehus over 3 plan | Flere solrike uteplasser | P-plass | Stor terrasse i 1. etg | Balkong i 2 etg | Vaskerom , Starrmyra 84, Tiller , 137 m² , 3 490 000 kr , Totalpris: 3 707 563 kr • Fellesutg.: 4 925 kr , EiendomsMegler 1 avd. Trondheim Sør/Øst
140630566 , OVERVIK - MODERNE SALTAKSHUS MED GOD TAKHØYDE -  Solrike uteplasser - 2 stuer og 2 bad - 4 soverom  - P-plass. , Overvik No.1, salgtrinn 2, Rekkehus, Ranheim , 140 m² , 6 890 000 kr , Totalpris: 6 923 260 kr • Fellesutg.: 4 868 kr , EiendomsMegler 1 Prosjekt Trondheim
156192794 , Angelltrøa - Lekker 2-roms fra 2018 | P-kjeller | Stor terrasse | Lave fellesutgifter med fjernvarme, Kabel-TV og internett inkl. , Gamle Jonsvannsveien 59B, Trondheim , 47 m² , 2 890 000 kr , Totalpris: 2 970 320 kr • Fellesutg.: 2 390 kr , Heimdal Eiendomsmegling AS avd. Trondheim Sentrum
174896782 , STAVNE. 2 stk. leiligheter, selges samlet eller hver for seg. Oppussingsobjekt , Stavnevegen 29, Trondheim , 149 m² , 2 500 000 kr , Totalpris: 2 563 872 kr • Fellesutg.: 3 154 kr , Nova Eiendomsmegling AS
165470360 , Tanem - Innholdsrik og flott enebolig med 5 soverom - Solrik beliggenhet - Barnevennlig boligområde - 3 bad , Fosshåggåvegen 20, Tanem , 237 m² , 4 690 000 kr , Totalpris: 4 808 420 kr , EiendomsMegler 1 avd. Trondheim Sør/Øst
