ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
173299126 , Jåttå/Gausel - Lekker enebolig arkitektegnet av Tommie Wilhelmsen - Når kvalitet står høyt - Dobbel garasje - Utsikt , Austtunveien 86, Stavanger , 297 m² , 16 500 000 kr , Totalpris: 16 913 670 kr , EiendomsMegler 1 Mariero
174630318 , Grasholmen - Frist for påmelding til visning kl 12.00 den 14. April -Flott 2-roms leilighet med nærhet til sjø |heis , Grasholmringen 9B, Hundvåg , 60 m² , 2 390 000 kr , Totalpris: 2 454 810 kr • Fellesutg.: 1 643 kr , DNB Eiendom AS
174653900 , Kalhammaren-PÅMELDNINGVISNING TIL MEGLER - Tiltalende enderekkehus med gode kvaliteter | Garasje | Barnevennlig beliggenhet! , Sjøfartsveien 1A, Stavanger , 123 m² , 3 590 000 kr , Totalpris: 3 688 320 kr , Eiendomsmegler Vest Stavanger
172879998 , Hundvåg - PÅMELDING TIL VISNING. Klassisk enebolig i et rolig og populært boligområde. Solrik og avskjermet tomt. Dobbel garasje. , Grønndalsveien 14, Hundvåg , 288 m² , 6 250 000 kr , Totalpris: 6 407 592 kr , Krogsveen avd. Stavanger
174593719 , Våland - Påmeldingsvisning! Pen selveierleilighet med god standard og attraktiv beliggenhet , Hafrsfjordgata 58A, Stavanger , 62 m² , 2 290 000 kr , Totalpris: 2 348 592 kr • Fellesutg.: 1 500 kr , Krogsveen avd. Stavanger Øst
174604921 , Hundvåg - PÅMELDING TIL VISNING. Enderekkehus beliggende i et populært og rolig boligområde. Utsikt mot Ryfylke øyene. , Skeiestraen 1, Hundvåg , 124 m² , 3 500 000 kr , Totalpris: 4 109 424 kr • Fellesutg.: 4 346 kr , Krogsveen avd. Stavanger
174631259 , PÅMELDINGSVISNING - Svært barnevennlig plassert enebolig - 4 soverom - Solrikt uteareal - Garasje - Godkjent sokkelleil. , Sørstrandveien 31A/B, Vassøy , 187 m² , 5 490 000 kr , Totalpris: 5 628 592 kr , Krogsveen avd. Stavanger
174574599 , Forus - Lettstelt, pen leilighet med gode solforhold fra romslig balkong | Fast p.plass i lukket anlegg , Nedre Storaberget 53, Stavanger , 82 m² , 2 500 000 kr , Totalpris: 2 948 552 kr • Fellesutg.: 5 128 kr , DNB Eiendom AS
171598538 , Haugtussa - PÅMELDINGSVISNINGER! Moderne og innholdsrikt brl rekkehus med flott utsikt | Parkering i garasje | Solrike uteområder , Sylvelinstien 38, Stavanger , 167 m² , 4 250 000 kr , Totalpris: 4 515 451 kr • Fellesutg.: 5 346 kr , DNB Eiendom AS
172769126 , SANDAL - Påmeldingsvisning! Enebolig i attraktivt område | Parkering i carport | 4 soverom | Hage , Orrestien 2A, Stavanger , 123 m² , 4 490 000 kr , Totalpris: 4 603 592 kr , DNB Eiendom AS
174643099 , Storhaug - Nyoppusset del av tomannsbolig over to plan. Utsikt og stor felles hage. , Figgjogata 6, Stavanger , 112 m² , 3 300 000 kr , Totalpris: 3 391 520 kr , Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
173720471 , PÅMELDINGSVISNING 13.04. Fantastisk eiendom på ca. 1,9 mål. Flott sjøutsikt og gode solforhold. Bygget må renoveres. , Mehusveien 51, Rennesøy , 156 m² , 2 350 000 kr , Totalpris: 2 424 422 kr , Notar Stavanger
174635007 , EIGANES - PÅMELDINGSVISNING - Pen leilighet med innglasset balkong og to soverom - Ettertraktet beliggenhet - Ingen dok.avg , Ytre Eiganesveien 7, Stavanger , 59 m² , 2 890 000 kr , Totalpris: 2 900 607 kr • Fellesutg.: 2 541 kr , Verdi Eiendomsmegling AS
169878889 , Våland - Flott leilighet over to plan med sentral beliggenhet | Bad fra 2014 | Romslig kjeller | , Kaptein Langes gate 31, Stavanger , 69 m² , 2 490 000 kr , Totalpris: 2 553 592 kr • Fellesutg.: 1 000 kr , Samsolgt by DNB Eiendom
174632220 , Hundvåg - Prosjektert enebolig i etablert villaområde - 4 soverom, 3 stuer og dobbel carport , Øvre Vågen 31 B, Hundvåg , 208 m² , 7 690 000 kr , Totalpris: 7 883 500 kr , Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
174608355 , Tjensvoll - Lekker og innholdsrik enebolig med 5 soverom | 2 bad | Garasje | Skjermet og koselig hage med gode solforhold , Lauritz Bergendahls gate 37, Stavanger , 159 m² , 4 390 000 kr , Totalpris: 4 500 920 kr , EiendomsMegler 1 Stavanger
174354616 , Bjergsted - Bjergsted- Arealeffektiv og tiltalende leilighet   Påmelding senest 3 timer før annonsert visningstidspunkt! , Tanangergata 8, Stavanger , 45 m² , 2 780 000 kr , DNB Eiendom AS , Eier (Selveier) • Leilighet • 1 soverom
174625930 , STOR, TØFF OG TRENDY enebolig med rå sjøutsikt og perfekte solforhold. Med hybel. , Ormøyveien 58, Hundvåg , 313 m² , 9 990 000 kr , Totalpris: 10 051 342 kr , Haga AS
153711970 , BJERGSTED - Nylig oppusset leilighet i sentrumsnært og populært nabolag - Heis - P-plass , Bjergsted Terrasse 4, Stavanger , 64 m² , 2 690 000 kr , Totalpris: 2 829 044 kr • Fellesutg.: 3 146 kr , Verdi Eiendomsmegling AS
174623316 , Sandal - Tiltalende leilighet i 8.et med 2 soverom og nydelig utsikt - Stor innglasset balkong - Nytt kjøkken og bad i 2011- Heis , Rektor Berntsens gate 12B, Stavanger , 81 m² , 3 450 000 kr , Totalpris: 3 662 568 kr • Fellesutg.: 3 509 kr , EiendomsMegler 1 Madla
159426351 , Østre bydel - Meget pen del av tomannsbolig med gangavstand til sentrum * 2.etasje+ loft * , Spilderhauggata 24, Stavanger , 57 m² , 2 080 000 kr , Totalpris: 2 147 272 kr , Notar Stavanger
163176827 , Tasta - Enebolig med gode romløsninger, innredet kjeller, garasje, stor hage og flere oppgraderinger de siste årene , Dusavikhagen 14, Stavanger , 186 m² , 5 190 000 kr , Totalpris: 5 321 092 kr , DNB Eiendom AS
174616634 , Hinna - Flott bolig i rekke - 3 soverom med mulighet for 5  - 2 stuer  - 2 bad - Carport - , Hanna Winsnes gate 78, Stavanger , 116 m² , 4 990 000 kr , Totalpris: 5 115 920 kr , EiendomsMegler 1 Mariero
158789297 , Våland - Oppusset 2-roms selveierleilighet med flott planløsning | Parkering | Sentrumsnær , Rektor Steens gate 25B, Stavanger , 24 m² , 1 750 000 kr , Totalpris: 1 794 972 kr , DNB Eiendom AS
157644442 , Stavanger Øst - Toppleilighet med 2 soverom - Flott beliggenhet - God standard - Parkeringsplass , Siriskjeret 22, Stavanger , 62 m² , 3 125 000 kr , Totalpris: 3 211 362 kr • Fellesutg.: 2 225 kr , Proaktiv Stavanger
174507959 , Madlamark - Meget romslig og kjekk enebolig over to plan - Solrik og pen hage - Garasje - Barnevennlig nabolag - , Herlaugsbakken 16, Hafrsfjord , 247 m² , 6 750 000 kr , Totalpris: 6 919 920 kr , EiendomsMegler 1 Mariero
171109181 , Kampen - Koselig 2-roms loftsleilighet med bad og kjøkken av nyere dato - Svært god oppbevaringsplass - Fin plassering , Stokkaveien 63D, Stavanger , 28 m² , 1 560 000 kr , Totalpris: 1 754 269 kr • Fellesutg.: 2 750 kr , Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
174605511 , Bjergsted - Strøken 2- roms eierleilighet i 6. etg. med 2 balkonger | Parkering i lukket anlegg | Heis , Sverdrups gate 3, Stavanger , 44 m² , 2 550 000 kr , Totalpris: 2 614 920 kr • Fellesutg.: 2 057 kr , EiendomsMegler 1 Stavanger
174601053 , Stavanger sentrum. - Ny lekker leilighet i 5. etg. med gode solforhold og utsikt. Luftig balkong. Felles takterrasse. Lave kjøps.omk. , Verksgata 42, Stavanger , 48 m² , 2 850 000 kr , Totalpris: 2 876 042 kr , Proaktiv Stavanger
174599667 , Godeset - Kjekk enebolig over tre plan. Trivelig uteområde med terrasse og hage - Carport - Sentral beliggenhet , Leirkjeldene 16, Stavanger , 155 m² , 4 050 000 kr , Totalpris: 4 162 492 kr , Proaktiv Stavanger
174593231 , Tjensvoll - Enderekkehus med barnevennlig beliggenhet. 3 sov. Avskjermet uteplass. , Oscar Mathisens gate 2, Stavanger , 122 m² , 2 850 000 kr , Totalpris: 2 939 285 kr • Fellesutg.: 3 590 kr , EiendomsMegler 1 Madla
174589764 , Madlamark - Enebolig med stor tomt på 1200 kvm. og ettertraktet beliggenhet. Boligen fremstår med enkel standard. , Herlaugsbakken 39, Hafrsfjord , 148 m² , 6 950 000 kr , Totalpris: 7 124 920 kr , EiendomsMegler 1 Madla
174591750 , Sentrum - Stilig funkisbolig med sjarm og sjel , Thorsesmauet 1, Stavanger , 93 m² , 3 950 000 kr , Totalpris: 4 062 770 kr , Eie Eiendomsmegling - Espen Eide & Partnere AS
174590869 , Gausel - Lekker, innholdsrik enebolig  med praktisk planløsning. Innerst i blindvei. , Årholsleitet 7, Stavanger , 235 m² , 9 190 000 kr , Totalpris: 9 420 920 kr , EiendomsMegler 1 Mariero
174589542 , Kristianslyst - Kjekk leilighet med god planløsning, fantastisk utsikt og romslig balkong. , Gulaksveien 2, Stavanger , 69 m² , 2 300 000 kr , Totalpris: 2 542 335 kr • Fellesutg.: 4 801 kr , Eie Eiendomsmegling Sandnes
174574889 , Madla - Nyere rekkehus over 3 etasjer. Innholdsrik planløsning. 2 stuer, 4 soverom og to bad. 2 stk. parkering i lukket anlegg. , Ragbakken 16D, Hafrsfjord , 154 m² , 6 190 000 kr , Totalpris: 6 346 092 kr , Krogsveen avd. Stavanger
145057848 , Forus - 2 moderne eneboliger med 3 (4) soverom, 2 stuer og 2 bad i attraktivt område. 1 solgt, 1 ledig! , Forusskogen, Stavanger , 140 m² , 5 950 000 kr , Totalpris: 6 009 048 kr , M2 Tomteutvikling AS
115996261 , Sjønære, lekre leiligheter - midt i urbane østre bydel. Kontakt megler for visning! , Vindmøllebakken, VMB BT2, Stavanger , 40 - 44 m² , 3 250 000 - 3 450 000 kr , Totalpris: 3 456 860 kr , EiendomsMegler 1 Nybygg Forus
172134993 , Gauselvågen - En unik mulighet i et fantastisk nabolag - 2 store eneboliger med nydelig utsikt og lekker utforming for salg - , Gauselvågen 60A, Stavanger , 234 - 269 m² , 12 900 000 - 13 900 000 kr , Totalpris: 12 988 670 - 13 988 670 kr , EiendomsMegler 1 Mariero
120489689 , Paradis Brygge Hus 2 - et fantastisk sted å bo. , Paradis Brygge Hus 2, Stavanger , 73 - 97 m² , 4 250 000 - 6 990 000 kr , Totalpris: 4 273 426 - 7 020 526 kr , EiendomsMegler 1 Nybygg Forus
157004989 , Ragbakken trinn 2 / Madla - Flotte innholdsrike leiligheter med sentral beliggenhet på Madla. Flere solgt! , Ragbakken B2, Hafrsfjord , 48 - 156 m² , 2 390 000 - 14 550 000 kr , Totalpris: 2 410 076 - 14 601 506 kr , EiendomsMegler 1 Nybygg Forus
174455187 , GAUSEL - PÅMELDINGSVISNING! Selveierleilighet i toppetasjen!| Solrik balkong mot sørvest | P.plass i lukket anlegg , Glassperleveien 1F, Stavanger , 55 m² , 2 290 000 kr , Totalpris: 2 354 342 kr • Fellesutg.: 2 442 kr , DNB Eiendom AS
174572778 , Søra Bråde - Flott familiebolig med 3 soverom og garasje. Fantastisk utsikt og solforhold. , Djupadalsveien 3, Hafrsfjord , 156 m² , 4 790 000 kr , Totalpris: 4 925 392 kr , PrivatMegleren Haferkamp & Partnere
174555220 , Tasta - Flott del av vertikaldelt tomannsbolig i et veletablert område - Stort og fint uteområde - Sentral beliggenhet , Boknaveien 2A, Stavanger , 150 m² , 3 850 000 kr , Totalpris: 3 961 922 kr , Notar Stavanger
174338396 , Bjergsted - Sentral brl. endeleilighet |Pen og lys 2-roms med nytt kjøkken 2018, bad 2015 og solrik terrasse beliggende i 1.etg , Vistegata 16B, Stavanger , 57 m² , 2 390 000 kr , Totalpris: 2 735 230 kr • Fellesutg.: 4 481 kr , DNB Eiendom AS
174453873 , Lervig - Påmeldingsvisning! Moderne leilighet med innglasset balkong | Heis | Parkering i lukket anlegg med el-bil lader , Breivikveien 17, Stavanger , 36 m² , 2 190 000 kr , Totalpris: 2 246 092 kr • Fellesutg.: 2 844 kr , DNB Eiendom AS
174421851 , Verven - PÅMELDINGVISNING. Stor leilighet i 4.etg med sjøutsikt og herlige solforhold. 3 soverom. 2 bad. , Verven 14B, Stavanger , 92 m² , 6 490 000 kr , Totalpris: 6 653 420 kr • Fellesutg.: 2 872 kr , EiendomsMegler 1 Østre Bydel
168268160 , Vardeneset - Leilighet på to plan med garasjeplass i etablert boligområde , Dusaviksvingen 7C, Stavanger , 103 m² , 2 350 000 kr , Totalpris: 2 617 988 kr • Fellesutg.: 5 273 kr , EiendomsMegler 1 Østre Bydel
174435698 , Mariero - Nyere eierleilighet med 2 soverom, ca. 55 m² takterrasse, heis, garasje og alt på ett plan. , Langflåtveien 34A, Stavanger , 66 m² , 3 500 000 kr , Totalpris: 3 588 670 kr • Fellesutg.: 1 799 kr , EiendomsMegler 1 Eiganes
174519293 , Vardeneset - Flott og velholdt familiebolig med stor hage og fantastisk utsikt - Barnevennlig og sentralt område - Garasje , Utsiraveien 14, Stavanger , 109 m² , 4 290 000 kr , Totalpris: 4 412 892 kr , Aktiv Stavanger
174507422 , Tasta - Flott familiebolig i attraktivt strøk - 3 soverom - Barnevennlig - Parkering - Utsikt - Flotte uteområder , Klebersteinveien 86, Stavanger , 92 m² , 3 590 000 kr , Totalpris: 3 680 920 kr , EiendomsMegler 1 Stavanger
171918101 , Flott nyoppusset bolig (114 kvm) med stor felles takterrasse, gåavstand til sentrum , VIKEDALSGATA 5, Stavanger , 96 m² , 2 690 000 kr , Totalpris: 2 758 420 kr • Fellesutg.: 100 kr , Advokat Olaf Nygaard
174441825 , Buøy - PÅMELDINGSVISNINGER! Lekker, oppusset leilighet med adskilt hybel! Nærhet til sjø | Herlig uteområde , Buøy Ring 47, Hundvåg , 102 m² , 2 890 000 kr , Totalpris: 2 963 592 kr , DNB Eiendom AS
174456900 , Hinna - Pent rekkehus med flere uteområder - Solrik eiendom - Garasje - 3 soverom - Nyere bad - Barnevennlig beliggenhet , Vågedalen 13C, Stavanger , 132 m² , 4 300 000 kr , Totalpris: 4 421 520 kr , Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
174451190 , Saksamarka - Innholdsrik leilighet i 3. etasje med solrik balkong. God lagring på loft og i kjeller. , Helmer Hanssens gate 2C, Stavanger , 69 m² , 2 100 000 kr , Totalpris: 2 259 653 kr • Fellesutg.: 4 470 kr , EiendomsMegler 1 Stavanger
174417023 , Storhaug - PÅMELDINGVISNING. Stor tomannsbolig i attraktivt område på Storhaug med BRA på 404m2. , Jelsagata 43, Stavanger , 324 m² , Solgt , Totalpris: 6 960 920 kr , EiendomsMegler 1 Østre Bydel
173318474 , Stavanger Øst - Påmeldingsvisning! Nyere, innholdsrikt rekkehus med 4 soverom. 2 bad. 2 stuer. Garasjeplass. , Lervigbrygga 269, Stavanger , 113 m² , 4 690 000 kr , Totalpris: 4 815 092 kr • Fellesutg.: 2 340 kr , Krogsveen avd. Stavanger Øst
174426591 , Tasta - Innholdsrik enebolig med pent opparbeidet tomt på 666m2! Særdeles populært og barnevennlig område med nærhet til "alt". , Høgeveien 8, Stavanger , 172 m² , 4 500 000 kr , Totalpris: 4 613 756 kr , EiendomsMegler 1 Stavanger
174427020 , Ullandhaug - Unik eiendom i øverste rekke i Ullandhaugskråningen. Grenser til friområde og naturlandskap. Fantastisk utsikt! , Mor Åses vei 30, Stavanger , 173 m² , 6 800 000 kr , Totalpris: 6 971 170 kr , EiendomsMegler 1 Stavanger
174426839 , Tasta - Nyere og innholdsrikt enderekkehus i flotte omgivelser. Solrike uteområder og carport. , Wilhelm Retz' gate 1, Stavanger , 155 m² , 4 600 000 kr , Totalpris: 4 718 550 kr , EiendomsMegler 1 Stavanger
174251825 , En lekker hjørneleilighet med gode solforhold - Nylig oppmalt og oppgradert - Parkering - , Laberget 48B, Stavanger , 77 m² , 1 230 000 kr , Totalpris: 3 196 188 kr • Fellesutg.: 12 928 kr , EiendomsMegler 1 Mariero
102272649 , Nye leiligheter 50 meter fra sjøen i Stavanger Øst!: Bo godt. Lev miljøvennlig. , Vindmøllebakken, VMB BT1, Stavanger , 48 m² , 3 700 000 kr , Andel • Leilighet , EiendomsMegler 1 Nybygg Forus
171978435 , EPLESTIEN - Salgssuksessen fortsetter! På kort tid er 14 av 35 enheter solgt på trinn 2. Ta kontakt for privatvisning! , Eplestien E2 (BB2-2), Stavanger , 64 - 151 m² , 772 500 - 3 122 500 kr , Totalpris: 3 103 952 - 12 514 702 kr , DNB Eiendom AS
174376599 , Bjergsted - Strøken, nyoppusset 3-romsleilighet med parkeringsplass på tomt og terrasse. Sentral beliggenhet. , Tanke Svilands gate 67, Stavanger , 50 m² , 1 690 000 kr , Totalpris: 1 743 792 kr , PrivatMegleren Haferkamp & Partnere
170157514 , MADLA / GOSEN - PÅMELDINGSVISNING! Påkostet enebolig i ettertraktet område. Pent opparbeidet tomt. 3 soverom. 3 bad. 2 stuer. , Gosenbakken 5, Hafrsfjord , 157 m² , 7 125 000 kr , Totalpris: 7 304 467 kr , Krogsveen avd. Stavanger Øst
174361721 , Gausel/ Frøystad - Stor og innholdsrik leilighet like i nærheten av Gandsfjorden - 1 Soverom - 1 kontor - Stor balkong - Carport , Frøystadveien 32, Stavanger , 104 m² , 3 490 000 kr , Totalpris: 3 586 270 kr • Fellesutg.: 1 297 kr , Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
168531184 , Ny pris ! Vestre platå /Eiganes - Fin leilighet med god standard - 1 etg -  2 soverom - Bud ønskes. , Niels Juels gate 68, Stavanger , 81 m² , 2 470 000 kr , Totalpris: 2 543 292 kr , Aktiv Stavanger
171575540 , Madlasandnes - Enebolig med 1517 kvm tomt og nydelig utsikt -Tinglyst båt og bryggeplass - Dobbel garasje , Håhammarkroken 7, Hafrsfjord , 221 m² , 7 900 000 kr , EiendomsMegler 1 Madla , Eier (Selveier) • Enebolig • 4 soverom
