ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
173326988 , Hinna - Meget pen enebolig fra 2018 i barnevennlig blindvei med garasje, 4 soverom, flott utsikt, lettstelt hage og høy standard , Bergliveien 30, Stavanger , 200 m² , 8 690 000 kr , Totalpris: 8 908 592 kr , Krogsveen avd. Sandnes
105599933 , Siste mulighet! 9 av 10 solgt- Enebolig med utleiemulighet-  240 kvm bruksareal - Mulighet for 6 soverom - 3 stuer - 2 bad , Sjøhusbakken, Stavanger , 192 m² , 7 250 000 kr , Totalpris: 7 301 222 kr , EiendomsMegler 1 Madla
145809414 , Ragbakken/Madla - Prosjekterte leiligheter med store, sørvendte og innglassede balkonger - Bo sentralt men i grønne omgivelser , Ragbakken B1, Hafrsfjord , 48 - 149 m² , 2 440 000 - 12 990 000 kr , Totalpris: 2 460 076 - 13 040 956 kr , EiendomsMegler 1 Nybygg Forus
163801648 , NORE SUNDE - Flytt inn i splitter ny leilighet i boligblokk BB9 senest mars 2021! | Øster Hus| Ta kontakt for privatvisning! , Nore Sunde leiligheter BB9, Hafrsfjord , 50 - 145 m² , 2 390 000 - 10 900 000 kr , Totalpris: 2 408 462 - 10 940 662 kr , DNB Eiendom AS
173261144 , Gosen/Madlamark - Påmeldingsvisning! Flott selveierleilighet i et meget attraktivt område. Terrasse på hele 17 kvm! Fast parkering , Gosenstubben 47, Hafrsfjord , 68 m² , 3 050 000 kr , Totalpris: 3 127 472 kr • Fellesutg.: 1 686 kr , DNB Eiendom AS
173326734 , Kommer for salg! , KISTENESET 24, Hundvåg , 243 m² , 8 900 000 kr , Totalpris: 8 900 000 kr • Fellesutg.: 4 817 kr , Privat
168424471 , Kvernevik - Stor terrasseleilighet , Mjughaug Terrasse 4, Hafrsfjord , 100 m² , 2 450 000 kr , Fellesutg.: 5 432 kr , DNB Eiendom AS
173305709 , Storhaug - Lys 3-roms selveierleilighet i toppetasje med sentral beliggenhet. Balkong. Felles takterrasse. , Sandeidgata 31A, Stavanger , 62 m² , 2 750 000 kr , Totalpris: 2 827 770 kr • Fellesutg.: 1 950 kr , Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
157291167 , JÅTTÅ/SEAVIEW - Nyere leilighet med høy standard og solrik innglasset balkong - Parkering - Heis - Gangavstand til tog , Jåttåvågveien 24 H0404, Stavanger , 56 m² , 2 990 000 kr , Totalpris: 3 065 920 kr • Fellesutg.: 1 977 kr , EiendomsMegler 1 Stavanger
173299717 , Saxemarka - Endeleilighet i 2 etasje. 2 soverom. Stue med utg. til solvendt balkong. , Helmer Hanssens gate 4E, Stavanger , 69 m² , 2 450 000 kr , Totalpris: 2 540 136 kr • Fellesutg.: 3 961 kr , EiendomsMegler 1 Mariero
173293658 , Godeset - Attraktiv bolig hvor miljø, energi og arkitektur er satt i høysetet , Grashaugveien 47, Stavanger , 155 m² , 5 200 000 kr , Totalpris: 5 344 020 kr , Eie Eiendomsmegling - Espen Eide & Partnere AS
173249033 , Byhaugen - Påmeldingsvisning! Flott enderekkehus i et barnevennlig og attraktivt område! , Esbjerggata 16, Stavanger , 90 m² , 2 990 000 kr , Totalpris: 3 158 026 kr • Fellesutg.: 5 431 kr , DNB Eiendom AS
173287148 , Gausel - Praktisk og lettstelt 4-roms andelsleilighet i barnevennlig område, solrik terrasse og garasjeplass. , Markaholen 5, Stavanger , 110 m² , 2 590 000 kr , Totalpris: 2 770 514 kr • Fellesutg.: 4 008 kr , PROPR AS
161096699 , I prosjektet "Klinken" selges det nå 12 attraktive kvalitetsleiligheter i sentrum av Stavanger - Midt i blinken! , Klinkenberggata 24, Stavanger , 57 - 76 m² , 3 990 000 - 6 750 000 kr , Totalpris: 4 002 956 - 6 766 826 kr , EiendomsMegler 1 Nybygg Forus
138814161 , Sjøtunet: fantastisk beliggende ytterst på Lervig Brygge. Planlagt ferdigstillt sommer 2022. , Lervig Brygga - Sjøtunet, Stavanger , 42 - 81 m² , 2 300 000 - 6 890 000 kr , Totalpris: 2 312 920 - 6 902 920 kr , Selvaag Bolig AS
163685549 , Eneboliger i rekke. 2 reservert. 1 igjen! , GJERDEVEIEN 111, Stavanger , 145 m² , 6 950 000 kr , Totalpris: 7 000 000 kr , Høieueland AS
173271224 , Storhaug - Lys og meget pen selveierleilighet - To soverom - Garasjeplass - Innglasset balkong - Oppgradert kjøkken - , Sletten 15, Stavanger , 61 m² , 2 890 000 kr , Totalpris: 2 963 420 kr • Fellesutg.: 1 978 kr , EiendomsMegler 1 Mariero
173247488 , Sydvendt leilighet med masse kvaliteter. Flott beliggenhet i 3. etasje (av 4) vendt mot parken , Tjensvollveien 31, Stavanger , 90 m² , 6 950 000 kr , Totalpris: 6 987 170 kr , EiendomsMegler 1 Eiganes
173240967 , Eiganes - Koselig enebolig beliggende i attraktivt villastrøk. , Bretlandsgata 25, Stavanger , 172 m² , 6 990 000 kr , Totalpris: 7 165 800 kr , EiendomsMegler 1 Eiganes
170931126 , Kvernevik - Trivelig rekkehus i barnevennlig område. 3 soverom. Nytt kjøkken 2016. Uteplass, hage samt balkong. , Hegreveien 12F, Hafrsfjord , 90 m² , 2 490 000 kr , Totalpris: 2 832 669 kr • Fellesutg.: 4 100 kr , EiendomsMegler 1 Stavanger
163858631 , Kampen - Lekker leilighet over to plan i et attraktivt og rolig område. Renovert i 2010. Solrik balkong. , Kampensgata 57, Stavanger , 65 m² , 2 590 000 kr , Totalpris: 2 655 920 kr • Fellesutg.: 600 kr , EiendomsMegler 1 Østre Bydel
148182927 , Lundsvågen - Sjelden mulighet! To unike eneboliger i sjøkanten med mulighet for båtplass! , Hundvåg , 213 - 214 m² , 9 190 000 - 9 775 000 kr , Totalpris: 9 283 750 - 9 873 756 kr , Jadarhus AS
167846381 , BADEDAMMEN - Romslig leilighet i gangavstand fra sentrum - To stuer - Egen p-plass , Nedre Banegate 6, Stavanger , 106 m² , 2 740 000 kr , Totalpris: 2 838 559 kr • Fellesutg.: 1 100 kr , Verdi Eiendomsmegling AS
167852615 , BJERGSTED - Stor toppleilighet på m/ panoramautsikt . 3 sov, 2 bad, 2 store balkonger, heis, garasje. PÅMELDINGSVISNING. , Byfjordparken 6, Stavanger , 126 m² , 9 300 000 kr , Totalpris: 9 532 500 kr • Fellesutg.: 3 225 kr , DNB Eiendom AS
169100647 , Gamle Stavanger - PÅMELDING TIL VISNING! Modernisert og sjarmerende perle i Gamle Stavanger. Unik beliggenhet og nydelig utsikt. , Andasmauet 11, Stavanger , 79 m² , 3 290 000 kr , Totalpris: 3 372 250 kr , DNB Eiendom AS
173153623 , Godeset - Romslig familiebolig med attraktiv og barnevennlig beliggenhet. - 5 soverom - Gode solforhold - Garasje , Grasheibakken 15, Stavanger , 176 m² , 4 100 000 kr , Totalpris: 4 159 457 kr • Fellesutg.: 5 117 kr , Krogsveen avd. Mariero
168003978 , Nye 2-etasjers leiligheter med flott beliggenhet ned mot sjøen på Lervig Brygge - 4 solgt! Planlagt ferdig sommer 2022. , Lervig Brygga Epletunet, Stavanger , 99 m² , 4 190 000 - 5 000 000 kr , Totalpris: 4 202 920 - 5 012 920 kr , Selvaag Bolig AS
168004065 , Nye 3-etasjers rekkehus med flott beliggenhet helt ned mot sjøen på Lervig Brygge. Planlagt ferdigstillelse sommer 2022. , Lervig Brygga, Stavanger , 105 m² , 5 890 000 - 6 700 000 kr , Totalpris: 5 898 750 - 6 708 750 kr , Selvaag Bolig AS
161261505 , Bjergsted/Kalhammaren - Strøken 3-roms leilighet fra 2015 med flott utsikt og sentrumsnær beliggenhet! To stk parkeringsplasser i lukket anlegg , Kaptein Mejlænders gate 25, Stavanger , 67 m² , 4 190 000 kr , Totalpris: 4 296 092 kr • Fellesutg.: 2 490 kr , DNB Eiendom AS
147422783 , Mariero - Toppleilighet med terrasse på begge sider - Nydelig utsikt og gode solforhold - Ingen fellesgjeld - Parkering og heis - , Marieroveien 11, Stavanger , 74 m² , 3 590 000 kr , Totalpris: 3 598 253 kr • Fellesutg.: 4 449 kr , EiendomsMegler 1 Mariero
148263316 , Nedre Vaulen - Stor enebolig med flott beliggenhet - Tomt på 1280 m2 - Utsikt - Vesentlig oppgradert/renovert - , Nedre Lyngnesvei 58, Stavanger , 241 m² , 10 500 000 kr , Totalpris: 10 763 670 kr , EiendomsMegler 1 Mariero
127434369 , Bjergstedhagen - Byggingen er i gang! 14 av 19 solgt, fortsatt flotte leiligheter igjen! , TASTAGATA 20, Stavanger , 90 - 96 m² , 5 490 000 - 5 690 000 kr , Totalpris: 5 511 472 - 5 712 822 kr , Aktiv Jæren
167908802 , Østhusvik - 4 innholdsrike eneboliger. Gode solforhold og utsikt. 4 soverom. , Mehushagen 8, Rennesøy , 133 - 143 m² , 4 740 000 - 4 920 000 kr , Totalpris: 4 774 048 - 4 954 048 kr , M2 Tomteutvikling AS
148016217 , Prosjekterte byleiligheter i Vindmøllebakken , Dokkgata 15, Stavanger , 65 - 136 m² , 3 450 000 - 6 990 000 kr , Totalpris: 3 461 626 - 7 001 626 kr , Solon Sørvest as
173057357 , Østhusvik - Flott, innholdsrik tomannsbolig med egen caport. Gode solforhold og utsikt. 3 soverom. , Mehushagen 9, Rennesøy , 100 m² , 2 750 000 kr , Totalpris: 2 771 548 kr , M2 Tomteutvikling AS
172152297 , Ny leilighet med innglasset balkong og god planløsning  *Heis *Parkering i lukket anlegg , Øvre Vågen 2, Hundvåg , 58 m² , 2 750 000 kr , Totalpris: 2 772 347 kr • Fellesutg.: 1 160 kr , Notar Stavanger
172061639 , Ny & og romslig leilighet med stor innglasset balkong *2 bad *2 soverom *Heis *Parkering i lukket anlegg , Øvre Vågen 4, Hundvåg , 104 m² , 5 790 000 kr , Totalpris: 5 821 197 kr • Fellesutg.: 2 080 kr , Notar Stavanger
173032957 , Hundvåg - Modernisert enebolig med 3 soverom, stor terrasse og garasje. Barnevennlig beliggenhet, like ved sjøen. , Dragabergveien 50, Hundvåg , 132 m² , 3 900 000 kr , Totalpris: 4 009 042 kr , PrivatMegleren Haferkamp & Partnere
164125908 , Lervig brygge pluss - Ny pris, påmeldingsvisning. Herlig hjørneleilighet i 4.etg. Nydelig maritim utsikt og gode solforhold. Heis og p-plass , Lervigbrygga 128, Stavanger , 70 m² , 4 225 000 kr , Totalpris: 4 331 790 kr • Fellesutg.: 3 538 kr , EiendomsMegler 1 Østre Bydel
136521706 , Sølyst - 37 flotte leiligheter med en av byens beste beliggenheter! FLERE SOLGT , Sølyst - Leiligheter, Hundvåg , 31 - 142 m² , 2 150 000 - 12 900 000 kr , Eier (Selveier) • Leilighet , EiendomsMegler 1 Nybygg Forus
136507376 , Sølyst - 20 flotte rekkehus med en av byens beste beliggenheter! 13 AV 20 SOLGT , Sølyst - Rekkehus, Hundvåg , 110 - 130 m² , 5 700 000 - 7 150 000 kr , Eier (Selveier) • Rekkehus , EiendomsMegler 1 Nybygg Forus
165676047 , Unike leiligheter på Madlas beste vestkant. Kun få igjen! , Snorresgate 30, Hafrsfjord , 127 - 138 m² , 9 000 000 - 9 500 000 kr , Totalpris: 9 036 742 - 9 533 892 kr , Eiendomsmegler Vest Nybygg Stavanger
167819478 , Paradis Brygge Hus 9 - Den siste perlen som ligger ytterst mot sjøkanten! 19 leiligheter fra 56kvm til 150kvm , Paradis Brygge - Hus 9, Stavanger , 52 - 97 m² , 3 250 000 - 8 950 000 kr , Totalpris: 3 269 456 - 8 977 550 kr , EiendomsMegler 1 Nybygg Forus
165681815 , Rekkehus innerst i Pedersgata , Vindmøllebakken, Stavanger , 121 - 122 m² , 5 790 000 - 5 990 000 kr , Totalpris: 5 807 422 - 6 007 422 kr , Solon Sørvest as
172992962 , Eiganes - Godt vedlikeholdt ende-rekkehusleilighet over 2 plan. Tre soverom. Terrasse. Attraktiv og barnevennlig beliggenhet. , Bretlandsgata 39, Stavanger , 108 m² , 3 750 000 kr , Totalpris: 3 901 242 kr • Fellesutg.: 4 693 kr , Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
172931489 , Flott 2- roms leilighet i 3. et. med meget sentral beliggenhet, balkong og parkering i lukket anlegg - Lave omkostninger , Verven 2A, Stavanger , 32 m² , 900 000 kr , Totalpris: 2 048 711 kr • Fellesutg.: 8 640 kr , EiendomsMegler 1 Madla
172882491 , Tasta - PÅMELDINGSVISNING - Flott og moderne 2-roms leilighet fra 2014 med god standard! Balkong, heis og parkering. IN-ordning. , Tastatunet 62 H0202, Stavanger , 42 m² , 870 000 kr , Totalpris: 2 311 554 kr • Fellesutg.: 6 859 kr , Krogsveen avd. Mariero
172873988 , Stavanger Øst - Påmeldingsvisning! Flott 3-roms leilighet med god standard og fast parkering. , Breivikveien 31A, Stavanger , 68 m² , 3 190 000 kr , Totalpris: 3 271 092 kr • Fellesutg.: 1 901 kr , Krogsveen avd. Stavanger Øst
157914835 , Østhusvik - 4 innholdsrike eneboliger i rekke. Gode solforhold, takterrasser og utsikt. 3/4 soverom. , Mehushagen 1, 3, 5 og 7, Rennesøy , 138 - 147 m² , 3 890 000 - 3 990 000 kr , Totalpris: 3 919 048 - 4 019 048 kr , M2 Tomteutvikling AS
172218526 , Øvre Vaulen - Innholdsrik enebolig med dobbel garasje, fantastiske solforhold og en nydelig utsikt. , Sevjebråtet 5A, Stavanger , 140 m² , 7 490 000 kr , Verdi Eiendomsmegling AS , Eier (Selveier) • Enebolig • 4 soverom
172815630 , Vardeneset - PÅMELDINGSVISNING - Velholdt enebolig med flott beliggenhet. Grenser mot friareal, vestvendt balkong og uteområde. , Hasseløyveien 16, Stavanger , 114 m² , 3 990 000 kr , Totalpris: 4 091 092 kr , DNB Eiendom AS
172900194 , Øvre Gauselvågen - Store nye leiligheter med flott fjordutsikt - Meld din interesse! , Boganesgeilen 5, Stavanger , not found , not found , Eier (Selveier) • Leilighet , Aktiv Stavanger
172903690 , Stavanger Øst - Arealeffektiv og lekker eierleilighet med sentral beliggenhet | Nylig modernisert | Heis , Haugesundsgata 7D, Stavanger , 21 m² , 1 250 000 kr , Totalpris: 1 302 692 kr • Fellesutg.: 1 619 kr , EiendomsMegler 1 Stavanger
172837911 , Kalhammaren - Flott og attraktiv leilighet med 2 soverom * Avdelt stue og spisestue * P-plass i lukket anlegg * Sentrumsnært * , Kaptein Mejlænders gate 19, Stavanger , 69 m² , 4 190 000 kr , Totalpris: 4 306 322 kr • Fellesutg.: 2 498 kr , Notar Stavanger
172901994 , Friheim - Innholdsrik enebolig på hele 322 kvm BRA. Meget attraktiv beliggenhet som grenser til friområde. Romslig garasje. , Friheim 53 D, Hafrsfjord , 302 m² , 5 950 000 kr , Totalpris: 6 109 992 kr , Proaktiv Stavanger
168466182 , Hinna Park - Flott endeleilighet i fremste rekke mot fjorden. Panoramautsikt fra 11. etasje. Båtplass rett nedenfor. , Laberget 118, Stavanger , 90 m² , 6 700 000 kr , Totalpris: 6 885 872 kr • Fellesutg.: 3 174 kr , EiendomsMegler 1 Eiganes
172875254 , Kvernevik - Stor, innholdsrik enebolig med romslig tomt og utleiemulighet - 6 soverom, 3 bad og 3 stuer - Kort vei til fjorden , Rødstilkveien 5, Hafrsfjord , 252 m² , 4 950 000 kr , Totalpris: 5 074 920 kr , EiendomsMegler 1 Madla
169208320 , Lekker arkitekttegnet enebolig fra 2010 med godkjent leilighet- Dobbel carport - 7 soverom - Lettstelt uteområde , Orrestien 47, Stavanger , 302 m² , 11 900 000 kr , Totalpris: 12 198 670 kr , EiendomsMegler 1 Madla
170499390 , MADLA/SLÅTTHAUG - Enebolig på Slåtthaug/Madla med flott beliggenhet i blindgate - Carport - Sørvendt terrasse , Byggstien 72, Hafrsfjord , 165 m² , 4 090 000 kr , Totalpris: 4 205 092 kr , Verdi Eiendomsmegling AS
163865970 , Tasta/Byhaugen - Flott leilighet med fantastisk utsikt og gåavstand til Stavanger sentrum | 2 soverom | Gjesterom på loft , Eskilstunagata 6, Stavanger , 71 m² , 2 590 000 kr , Totalpris: 2 698 882 kr • Fellesutg.: 3 500 kr , DNB Eiendom AS
172158145 , Lervigbrygga - Må ses! Toppleilighet  med panoramautsikt over fjorden - Innglasset sør/vestvendt terrasse - Parkering i garasjeanlegg , Lervigbrygga 140, Stavanger , 83 m² , 6 490 000 kr , Totalpris: 6 653 592 kr • Fellesutg.: 4 038 kr , DNB Eiendom AS
172672204 , Vaulen - Flott leilighet i 3. etasje med nydelig beliggenhet og heis.  Utsikt mot fjord og fjell , Sørflåtveien 88, Stavanger , 81 m² , 3 980 000 kr , Totalpris: 4 081 170 kr • Fellesutg.: 1 892 kr , EiendomsMegler 1 Stavanger
171991355 , Tasta - Totaloppusset og ubebodd leilighet med god standard. Parkering. Terrasse. , Eskelandsgeilen 6, Stavanger , 41 m² , 1 690 000 kr , Totalpris: 2 067 605 kr • Fellesutg.: 5 375 kr , EiendomsMegler 1 Stavanger
172129273 , Våland - Unik, innholdsrik og totalrenovert/nybygget Villa av høy kvalitet. Godkjent leilighet i u.etg. , Valkyrjegata 25, Stavanger , 260 m² , 11 900 000 kr , Totalpris: 12 198 550 kr , EiendomsMegler 1 Madla
172878043 , Mosterøy/Skorpefjell | Romslige boliger med superutsikt | Muliget for leilighet | Øster Hus , Skorpefjell B4b - Bolig 14-17, Mosterøy , 141 m² , 5 990 000 - 6 190 000 kr , Totalpris: 6 056 342 kr , Proaktiv Prosjektmegling Rogaland
172875661 , Sunde - Pen leilighet med innglasset balkong og heis i bygget. Sjøutsikt og gode solforhold. , Sundelia 10, Hafrsfjord , 90 m² , 2 490 000 kr , Totalpris: 2 884 640 kr • Fellesutg.: 5 077 kr , EiendomsMegler 1 Madla
158167076 , Ta kontakt for visning! Hundvåg - Enebolig med attraktiv og barnevennlig beliggenhet. 4 soverom, 3 stuer og 2 bad. , Brislingveien 36, Hundvåg , 196 m² , 4 320 000 kr , Totalpris: 4 443 642 kr , Aktiv Stavanger
172856970 , Tasta - Innbydende leilighet i 5. etasje med flott utsikt og bra standard. - IN Ordning -Parkering m.heis - Ingen dok av , Tastatunet 8, Stavanger , 69 m² , 1 171 000 kr , Totalpris: 3 108 457 kr • Fellesutg.: 9 573 kr , Krogsveen avd. Mariero
172843820 , SENTRUM / STORHAUG - PÅMELDINGSVISNING! Fin 3-roms leilighet over to plan. 2 soverom. 2 bad. Gåavstand til det meste! , Mellomgata 9, Stavanger , 58 m² , 2 450 000 kr , Totalpris: 2 512 592 kr • Fellesutg.: 625 kr , Krogsveen avd. Stavanger Øst
138354633 , Husene i skogen - Nye leiligheter med unike fellesskapsløsninger på Jåttå - byggestart vedtatt! , Husene i skogen - Trinn 1, Stavanger , 56 - 103 m² , 1 045 000 - 6 080 000 kr , Totalpris: 3 306 110 - 4 194 616 kr , EiendomsMegler 1 Nybygg Forus
172311416 , Stokka / Kampen - Lys og tiltalende 3-roms - Solrik balkong - Sentral og populær beliggenhet , Stokkaveien 67C, Stavanger , 67 m² , 2 590 000 kr , Totalpris: 2 859 640 kr • Fellesutg.: 4 252 kr , DNB Eiendom AS
172837887 , EIGANES - Stor Eiganes-villa på 300 m² med muligheter. Takterrasse med sol fra morgen til kveld. Parkering med plass til 3 biler , Eiganesveien 160, Stavanger , 276 m² , 8 100 000 kr , Totalpris: 8 303 670 kr , EiendomsMegler 1 Eiganes
172672347 , Kampen - Påmeldingvisning. Leilighet med fantastisk utsikt og vestvendt balkong med unike solforhold. Gjennomført leilighet med 2 , Stokkaveien 67C, Stavanger , 67 m² , 2 750 000 kr , Totalpris: 3 026 792 kr • Fellesutg.: 4 252 kr , EiendomsMegler 1 Stavanger
172787710 , Consulens Brygge - Prosjekterte leiligheter ved fjordkanten sør for Paradis , Consul Sigval Bergesens vei, Stavanger , 2 890 000 kr , not found , Totalpris: 2 914 658 kr , Skanska Eiendomsutvikling AS
172774891 , Grannes - Koselig modernisert enebolig med kort vei til Sørmarka - Lun og solrik terrasse - Flott hage. , Novstubben 19, Hafrsfjord , 173 m² , 5 600 000 kr , Totalpris: 5 755 642 kr , PrivatMegleren Haferkamp & Partnere
172766632 , Madla - 3-roms selveierleilighet i 6.etg. m/terrasse, heis, og parkering i garasje. , Madlastokken 24, Hafrsfjord , 76 m² , 3 495 000 kr , Totalpris: 3 541 254 kr • Fellesutg.: 2 634 kr , Privat
172773914 , Sentrum - Meget pen og sentral selveierleilighet med god standard. Solvendt balkong og heis. , Stiftelsesgata 4, Stavanger , 43 m² , 2 490 000 kr , Totalpris: 2 659 299 kr • Fellesutg.: 3 476 kr , PrivatMegleren Haferkamp & Partnere
172771617 , Villa Buøy - Arkitekttegnet enebolig med: Hybel eller kino og treningsrom - 305 m² - Tomt 701 m² - Grenser til friområde , Buøy ring, Hundvåg , 268 m² , 11 500 000 kr , Totalpris: 11 576 370 kr , Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
172600214 , Sandal - Stor enebolig med godkjent utleiedel | Behov for oppgraderinger | Garasje | Familievennlig beliggenhet , Fasanveien 50A og B, Hafrsfjord , 330 m² , 7 650 000 kr , Totalpris: 7 842 592 kr , DNB Eiendom AS
162055445 , VESTRE PLATÅ - Pen leilighet like ved sentrum - Mulighet for 2 sov - Vestvendt balkong - Ingen dok.avgift , Wessels gate 25B, Stavanger , 66 m² , 2 550 000 kr , Totalpris: 2 840 917 kr • Fellesutg.: 4 304 kr , Verdi Eiendomsmegling AS
172238818 , Verven - Endeleilighet i øverste etasje med nydelig utsikt og egen utleiedel - Parkering i lukket anlegg - Sentrumsnært , Verven 38, Stavanger , 58 m² , 2 290 000 kr , Totalpris: 3 271 557 kr • Fellesutg.: 8 311 kr , Notar Stavanger
172693548 , Tasta - PÅMELDING TIL VISNING. Flott leilighet i 2 etg beliggende i et rolig og populært boligområde. 3 soverom. , Statfjordsvingene 6, Stavanger , 101 m² , 3 190 000 kr , Totalpris: 3 271 092 kr , Krogsveen avd. Stavanger
147653157 , Paradis Brygge Hus 8 - 19 leiligheter like i sjøkanten! Er nå for salg! , Paradis brygge Hus 8, Stavanger , 59 - 160 m² , 3 190 000 - 13 090 000 kr , Totalpris: 3 218 726 - 13 153 506 kr , EiendomsMegler 1 Nybygg Forus
116441633 , Lervigpynten - flotte hjørneleiligheter ytterst i sjøkanten. SALGSSUKSESS 32 av 37 solgt! Innflyttingsklart i mai 2020. , Lervigpynten, Stavanger , 60 - 82 m² , 3 660 000 - 5 450 000 kr , Totalpris: 3 672 920 - 5 462 920 kr , Selvaag Bolig AS
170167098 , Madlamark - Moderne og innholdsrik tomannbolig i attraktivt område. 4 soverom, 2 bad og parkering i egen carport. 1 solgt! , Gunhilds gate, Hafrsfjord , 140 m² , 6 100 000 kr , Totalpris: 6 175 298 kr , M2 Tomteutvikling AS
165410030 , EPLESTIEN - SALGSSUKSESS - Kun 11 enheter igjen! Bo luftig, grønt og solrikt på toppen av Tasta. Ta kontakt for privatvisning! , Eplestien E1 (BB2-1), Stavanger , 69 - 134 m² , 947 500 - 1 747 500 kr , Totalpris: 3 804 652 - 7 012 502 kr , DNB Eiendom AS
154908458 , BYGGESTART VEDTATT! 9 unike townhouse i Stavanger sentrum. Kun 3 stk igjen! , Kongsteinsgata 22 og Kirkebakken 28, Stavanger , 81 - 131 m² , 4 790 000 - 7 690 000 kr , Totalpris: 4 839 342 - 7 739 342 kr , PrivatMegleren Haferkamp & Partnere
167724211 , Ullandhaugskråningen - Meget flott og innholdsrik vertikaltdelt bolig - Solrik uteplass - Betydelig oppgradert de senere år - Garasje - , Veslemøyveien 7, Stavanger , 141 m² , 4 490 000 kr , Totalpris: 4 603 420 kr , EiendomsMegler 1 Mariero
169256893 , Bud ønskes! Bjergsted - Villa Molare! Spennende eiendom med muligheter! Ta kontakt for visning. , Kalhammargeilen 5, Stavanger , 218 m² , 6 290 000 kr , Totalpris: 6 462 892 kr , Aktiv Stavanger
172680486 , Åsen - Innholdsrikt rekkehus med nyere kjøkken og bad. Praktisk planløsning. Gode solforhold og stor terrasse. , Solåsveien 11B, Stavanger , 125 m² , 3 290 000 kr , Totalpris: 3 378 056 kr • Fellesutg.: 3 962 kr , Krogsveen avd. Stavanger
163121181 , Byhaugen - Sjelden mulighet! Ærverdig og påkostet villa på praktfull tomt med fantastisk beliggenhet. , Byhaugveien 30, Stavanger , 214 m² , 9 500 000 kr , Totalpris: 9 753 142 kr , PrivatMegleren Bergesen & Partnere
172615466 , Våland - Påbygget rekkehus i attraktivt område. 3 soverom og fast parkering. Barnevennlig og sentralt , Armauer Hansens vei 21 C, Stavanger , 100 m² , 3 290 000 kr , Totalpris: 3 383 822 kr , Notar Stavanger
158670903 , Eiganes / Ledaal Park - Lekker prosjektert endeleilighet i Ledaal Park med flott utsikt mot byen og parken , Alexander Kiellands gate 2A. H0301 / A-31, Stavanger , 136 m² , 12 500 000 kr , Totalpris: 12 813 870 kr • Fellesutg.: 3 575 kr , Eie Eiendomsmegling - Espen Eide & Partnere AS
172334562 , Eplestien E1 - Lyst å bo i et rekkehus, men også ha alle fordelene ved å bo i boligblokk? Byhus er kanskje noe for deg! Ta kontakt for privatvisning! , Eplestien BB2-1 C-HO-102, Stavanger , 132 m² , 1 747 500 kr , Totalpris: 7 012 502 kr , DNB Eiendom AS
172330955 , Eplestien E1 - Hjørneleilighet med flott utsikt mot fellesområdene, Ullandhaugstårnet og Store Stokkavatn. Ta kontakt for privatvisning! , Eplestien BB2-1 A-HO-302, Stavanger , 69 m² , 1 047 500 kr , Totalpris: 4 204 652 kr , DNB Eiendom AS
150432179 , Kjekk eiendom med 3 soverom sentralt på Skartveit! Flott utsikt og mulighet for båtplass! Kontakt megler for visning! , Kvednarhaugen 2, Skartveit , 127 m² , 2 190 000 kr , Totalpris: 2 260 220 kr , Aktiv Ryfylke
172670088 , Forus - Nyere leilighet med hele tre soverom og to bad - Stor balkong - Parkering - Heis - Lav dok avgift , Geitastova 1, Leilighet H0301, Stavanger , 112 m² , 5 590 000 kr , Totalpris: 5 611 742 kr • Fellesutg.: 3 156 kr , Proaktiv Stavanger
172610062 , Kampen - PÅMELDING TIL VISNING. Sentralt beliggende leilighet i 3 etg. med solrik balkong. , Misjonsveien 6A, Stavanger , 57 m² , 2 490 000 kr , Totalpris: 2 761 028 kr • Fellesutg.: 4 362 kr , Krogsveen avd. Mariero
134119124 , Vålandstun - Eksklusive leiligheter for voksne. Svært innholdsrike fellesområder, lave felleskostnader. , Vålandstun, Stavanger , 54 - 101 m² , 1 316 700 - 3 626 700 kr , Totalpris: 4 018 121 - 11 032 246 kr , EiendomsMegler 1 Nybygg Forus
104895362 , Paradis brygge Hus 5 - Leiligheter like i sjøkanten. , Paradis Brygge Hus 5, Stavanger , 87 - 155 m² , 5 300 000 - 12 900 000 kr , Totalpris: 5 327 181 - 12 948 781 kr , EiendomsMegler 1 Nybygg Forus
174630318 , Grasholmen - Frist for påmelding til visning kl 12.00 den 14. April -Flott 2-roms leilighet med nærhet til sjø |heis , Grasholmringen 9B, Hundvåg , 60 m² , 2 390 000 kr , DNB Eiendom AS , Eier (Selveier) • Leilighet • 1 soverom
147574944 , Innseilingå Fjordbris - Kun 1 igjen, flytt inn i dag! , Innseilingå trinn 3 Fjordbris, Stavanger , 96 m² , 5 990 000 kr , Totalpris: 6 006 872 kr , DNB Eiendom AS
172642121 , Eiganes - Hel tomannsbolig med innredet kjeller. Sentralt og etterspurt boområde. Garasje og inngjerdet hage , St. Svithuns gate 29, Stavanger , 291 m² , 8 800 000 kr , Totalpris: 9 035 642 kr , PrivatMegleren Haferkamp & Partnere
172598704 , Sjelden mulighet i fremre rekke mot Hafrsfjord. Stort og ettertraktet rekkehus , Vårstien 34, Hafrsfjord , 128 m² , Solgt , Totalpris: 6 919 920 kr , EiendomsMegler 1 Madla
