ID; Beskrivelse; adresse; kvadratmeter; pris;pris per kvadratmeter ; totalpris ; fellesutgifter; megler 
174934940 ; Haugenstua - HAUGENSTUA-Strøken 2-roms selveier i nybygg fra 2020. Høy standard og 5 års nybyggaranti i populært område med parkering ; Garver Ytteborgs vei 111B, Oslo, Stovner ; 49 m² ; 3350000 kr; 68367 ; Totalpris: 3 386 642 kr ; 2 250 kr ; Nordvik St.Hanshaugen
174987615 ; TORSHOV KV. 17 - "LANGGÅRDEN" - TORSHOVPARKEN - Rålekker, gjennomgående 3-roms - Flott beliggenhet med utsikt over Torshovparken - Idyllisk gårdsrom ; Agathe Grøndahls gate 34, Oslo, Sagene - Torshov ; 66 m² ; 5000000 kr; 75758 ; Totalpris: 5 095 485 kr ; 2 969 kr ; PrivatMegleren Soria Moria
174786579 ; ØVRE GRÜNERLØKKA - Lekker 2-roms over to plan med god standard - Solrik, felles takterrasse - Attraktiv beliggenhet ved Birkelunden ; Markveien 2, Oslo, Grünerløkka - Sofienberg ; 63 m² ; 3890000 kr; 61746 ; Totalpris: 3 996 892 kr ; 2 191 kr ; Nordvik Bygdøy Allé
174911210 ; VALLE HOVIN/HOVINENGA - Moderne standard - Attraktiv 3-r fra 2018 med sydøstvendt balkong, smart planløsning og heis. Mulighet for garasjeplass. Attraktivt område. ; Innspurten 8A, Oslo, Helsfyr - Sinsen ; 49 m² ; 4080000 kr; 83265 ; Totalpris: 4 191 642 kr ; 1 884 kr ; Nordvik Slemmestad
167113072 ; BJØRVIKA - Helt ny 4R med unik utsikt og beliggenhet - Garasje - Fantastisk fjordutsikt fra både stue, kjøkken og balkong - To bad ; Operagata 24, Oslo, Gamle Oslo ; 100 m² ; 14700000 kr; 147000 ; Totalpris: 15 079 042 kr ; 5 000 kr ; Aktiv Carl Berner
174985054 ; ULLEVÅL HAGEBY - Attraktiv gjennomgående 5-roms endeleilighet på ett plan med utsikt mot Damplassen og Harald Hals park. 3 ildsteder. ; Damplassen 22, Oslo, St.Hanshaugen - Ullevål ; 131 m² ; 13500000 kr; 103053 ; Fellesutg.: 6 331 kr;0 ; Sem & Johnsen Eiendomsmegling
174983108 ; Haugenstua - Innflytningsklar 1 roms med alkove og 7 kvm balkong. Rehabiliert bad. Kun TG1. Varmt vann og fyring inkl.! ; Garver Ytteborgs vei 105, Oslo, Stovner ; 31 m² ; 2200000 kr; 70968 ; Totalpris: 2 354 385 kr ; 2 390 kr ; OBOS eiendomsmeglere - Kalbakken
174982164 ; ENERHAUGEN - 3-roms med flott utsikt. Fyring, varmt vann og høyhastighets internett inkl. Ingen dok.avg. ; Enerhauggata 3, Oslo, Gamle Oslo ; 72 m² ; 5700000 kr; 79167 ; Totalpris: 5 774 385 kr ; 5 143 kr ; OBOS eiendomsmeglere - Oslo Sentrum
174981229 ; Tonsenhagen - Tonsenhagen - Pen og gjennomgående 3-roms m/ sydvendt balkong. Meget populær beliggenhet rett ved marka! ; Anna Rogstads vei 47, Oslo, Bjerke ; 67 m² ; 3800000 kr; 56716 ; Totalpris: 3 960 194 kr ; 3 567 kr ; Eie Eiendomsmegling Veitvet
174889081 ; KARLSRUD - Lys og gj.gående 3-roms toppleilighet med vestvendt balkong - Vv og fyring inkl - Kort vei til t-bane ; Radarveien 8, Oslo, Lambertseter ; 61 m² ; 3200000 kr; 52459 ; Totalpris: 3 612 854 kr ; 5 213 kr ; DNB Eiendom AS
174900132 ; Bøler - Moderne og innholdsrikt rekkehus over 3 plan. Solrik, vestvendt terrasse og hage. Garasjeplass og biloppstillingsplass. ; General Ruges vei 61 E, Oslo, Bøler ; 132 m² ; 7800000 kr; 59091 ; Totalpris: 7 996 342 kr ; 4 165 kr ; Krogsveen avd. Majorstuen
174784950 ; Sagene - Urban og lekker  80/73m², 3-roms med vestvendt balkong og et stilsikkert preg. Meget god intern beliggenhet - må sees! ; Stavangergata 5, Oslo, Sagene - Torshov ; 73 m² ; 5400000 kr; 73973 ; PrivatMegleren Soria Moria;0 ; Andel • Leilighet • 2 soverom
174876343 ; 3(4)-Roms m sep. kjk, sjarmerende detaljer m bla originale tregulv og teglstensvegg. Soverom beligg. mot stille bakgård. ; Waldemar Thranes gate 64C, Oslo, St.Hanshaugen - Ullevål ; 82 m² ; 4950000 kr; 60366 ; Totalpris: 5 088 347 kr ; 3 220 kr ; Notar Oslo
166782581 ; Frogner - Eksklusiv og stor 4-roms selveier med to bad - Vestvendt balkong - P-plass - Klassisk Frognerbygård ; Oscars gate 76 A, Oslo, Bygdøy - Frogner ; 147 m² ; 14500000 kr; 98639 ; Totalpris: 14 879 667 kr ; 3 368 kr ; PrivatMegleren Park
174978188 ; FRYDENBERG/ved Løren: Lys og moderne 3-roms med sydvestvendt balkong - 3.etg.- Lave felleskost. - Attraktiv beliggenhet ; Seljeveien 37, Oslo, Helsfyr - Sinsen ; 53 m² ; 4200000 kr; 79245 ; Totalpris: 4 313 242 kr ; 2 465 kr ; Proaktiv Christiania
172770793 ; Grorud - Flott rekkehus over 3 plan | Meget barnevennlig | Vestvendt terrasse |  EL-bil lading | Lave fellesutgifter ! ; Hagaløkka 19C, Oslo, Grorud ; 103 m² ; 4840000 kr; 46990 ; Totalpris: 4 968 874 kr ; 2 700 kr ; EiendomsMegler 1 Grorud
149930591 ; OMPROSJEKTERES - Her kommer 4 frittliggende eneboliger - Kontakt megler for info. ; Kringkollen 28, Oslo, Bøler ; 118 - 125 m² ; 8800000 - 10000000 kr; 74576 - 80000 ; Andel ; Rekkehus ; PrivatMegleren Première
162755641 ; Innflyttingsklare leiligheter med Sofienbergparken og Grünerløkka som dine nærmeste naboer. ; SOFIENBERGGATA 35, Oslo, Grünerløkka - Sofienberg ; 55 - 97 m² ; 6030000 - 9450000 kr; 109636 - 97423 ; Totalpris: 6 700 000 - 10 500 000 kr;0 ; Fredensborg Bolig AS
106816091 ; Innflytningsklare leiligheter - overleveringsdato blir vi enige om! ; Innspurten 12, Oslo, Helsfyr - Sinsen ; 37 - 75 m² ; 3950000 - 6345000 kr; 106757 - 84600 ; Totalpris: 3 961 170 - 6 356 170 kr;0 ; Selvaag Bolig AS
174968583 ; Villa Ringnes - Rålekker 4-roms med praktikantdel, vestvendt terrasse og garasje. "Easy living" på øvre Grünerløkka! ; Thorvald Meyers gate 2 D, Oslo, Sagene - Torshov ; 127 m² ; 10000000 kr; 78740 ; Totalpris: 10 267 430 kr ; 5 565 kr ; PrivatMegleren Soria Moria
174967901 ; SKØYEN/HOFF - Ny 4-roms leilighet med stor solrik balkong - Peis - Heis - Egen hybelleilighet med egen inngang ; Harbitzalléen 25, H-301, Oslo, Ullern ; 104 m² ; 10000000 kr; 96154 ; Totalpris: 10 261 542 kr ; 4 858 kr ; Sem & Johnsen Eiendomsmegling
174966807 ; Ensjø/Tiedemannsbyen - Gjennomgående 3/4-roms. To solrike balkonger. Heis. Nybygg i et rivende bomiljø! Takterrasse. Garasjeplass medfølger! ; Sigurd Hoels vei 7, Oslo, Gamle Oslo ; 73 m² ; 5900000 kr; 80822 ; Totalpris: 6 059 042 kr ; 3 395 kr ; Aktiv Grønland/Bjørvika
172295129 ; MAJORSTUEN Avtal visning på 977 66 133 - Spennende & gj.gående oppussingsobjekt med to stuer|3 Sov|Fransk balkong|Heis & Peis|Ettertraktet & sentral beliggenhet! ; Majorstuveien 18, Oslo, Uranienborg - Majorstuen ; 131 m² ; 9950000 kr; 75954 ; Totalpris: 10 221 186 kr ; 5 494 kr ; Nordvik Ullevål
174964299 ; SKØYEN/ØVRE SILKESTRÅ - Attraktiv 3- roms, nymalt, solrik balkong, barnevennlig beliggenhet, bilfri vei til Skøyen skole ; Skøyenveien 69, Oslo, Ullern ; 55 m² ; 4600000 kr; 83636 ; Totalpris: 4 723 335 kr ; 3 162 kr ; Eie Eiendomsmegling Vinderen
164561819 ; TORSHOV KV. XVI - Strøken, gjennomgående 3-roms i populær Torshovgård med prisbelønnet gårdsrom! - Tilbaketrukket i populær gate ; Erika Nissens gate 12, Oslo, Sagene - Torshov ; 69 m² ; 5400000 kr; 78261 ; Totalpris: 5 606 620 kr ; 3 191 kr ; PrivatMegleren Soria Moria
174963228 ; ST. HANSHAUGEN - 3-roms loftsleilighet med sjarm og sjel. God standard fra 2011. Gulvareal 52 kvm. Attraktiv beliggenhet ; Zetlitz gate 2 A, Oslo, St.Hanshaugen - Ullevål ; 43 m² ; 4230000 kr; 98372 ; Totalpris: 4 247 397 kr ; 2 560 kr ; Eie Eiendomsmegling Fredensborg
174940232 ; HAUGERUD - Stor og tiltalende 2-roms med balkong|Bad 2013|V.v. og fyring inkl.|Rett ved markagrensa|Kort vei til t-bane og butikk. ; Haugerudveien 74, Oslo, Hellerud ; 59 m² ; 2750000 kr; 46610 ; Totalpris: 3 013 457 kr ; 3 388 kr ; DNB Eiendom AS
172324728 ; Vannkunsten - Rålekker og stor  4-romsleilighet  i spektakulære Vannkunsten -  Garasje*.  Ferdig okt-20 ; Operagata 75A, Oslo, Gamle Oslo ; 123 m² ; 14300000 kr; 116260 ; Totalpris: 14 370 576 kr ; 5 040 kr ; Røisland & Co Eiendomsmegling AS
174962642 ; NORDSTRAND - Rålekker 5-roms over 2 plan i firemannsbolig (1.etg + kjeller) - Oppusset i 2018 - Solrik, veranda, terrasse og hage ; SIGURD JOHANNESENS VEI 1 C, Oslo, Nordstrand ; 98 m² ; 7950000 kr; 81122 ; Totalpris: 8 160 320 kr ; 1 500 kr ; PrivatMegleren Panorama Manglerud
174960366 ; Oppsal - Innbydende og attraktiv 4-roms med god standard fra 2015. Solrik balkong med fint utsyn. Meget barnevennlige omgivelser. ; Oppsaltoppen 14A, Oslo, Østensjø ; 72 m² ; 3950000 kr; 54861 ; Totalpris: 4 009 730 kr ; 3 689 kr ; Eie Eiendomsmegling Wekre og Partnere
174960257 ; Sagen/Bjølsen - Meget tiltalende 2-roms med balkong, heis og nyere bad. Super planløsning. Mulighet for garasjeleie. ; Treschows gate 19, Oslo, Sagene - Torshov ; 53 m² ; 4100000 kr; 77358 ; Totalpris: 4 367 075 kr ; 4 429 kr ; PrivatMegleren Horisont
174873280 ; HAUGERUD - Romslig og velholdt endeleilighet|Innglasset balkong|Garasje, elbil-kabel| V.v/fyring inkl.|Nær butikk, marka og t-bane ; Haugerudveien 6, Oslo, Hellerud ; 92 m² ; 3690000 kr; 40109 ; Totalpris: 3 820 457 kr ; 5 365 kr ; DNB Eiendom AS
174909202 ; Gamle Furuset - Sjarmerende og frittliggende enebolig med stor solrik tomt | Garasje |Gangavstand til Grorud stasjon  | Barnevennlig. ; Grorudveien 104, Oslo, Furuset ; 127 m² ; 6800000 kr; 53543 ; Totalpris: 6 971 374 kr;0 ; EiendomsMegler 1 Grorud
174956467 ; Frogner - 3 roms loftsleilighet o/ 2 plan med stor, solrik terrasse (18 kvm) m fjordutsikt, 2 soverom, 2 bad, peis/ heis ; Gabelsgate 43, Oslo, Bygdøy - Frogner ; 74 m² ; 7800000 kr; 105405 ; Totalpris: 8 092 256 kr ; 2 645 kr ; Eie Eiendomsmegling Vinderen
174484060 ; Lekker stor 2-roms med nydelig utsikt| Ingen gjenboere| God standard| Stilrent kjøkken. P-plass ! ; Tvetenveien 253, Oslo, Hellerud ; 59 m² ; 2990000 kr; 50678 ; Totalpris: 3 080 351 kr ; 3 850 kr ; EiendomsMegler 1 Grorud
171669605 ; TØYEN - Stilren 2-roms loftsleilighet med en meget attraktiv beliggenhet! Peis - 50 m² gulvareal ; Sigurds gate 8 B, Oslo, Gamle Oslo ; 44 m² ; 3590000 kr; 81591 ; Totalpris: 3 699 690 kr ; 2 284 kr ; Aktiv Grünerløkka
174953737 ; Holmenkollens vestside - Velholdt og usjenert 4-roms endeleilighet med sydvestvendt terrasse på 21 m², fjordutsikt, heis og 2 garasjeplasser ; Måltrostveien 53, Oslo, Vinderen ; 143 m² ; 11000000 kr; 76923 ; Totalpris: 11 286 570 kr ; 3 582 kr ; Privatmegleren Tjuvholmen
174929491 ; Schouterrassen/ Sinsen - Nyoppusset og strøken 2-roms i 2. etasje med solrik balkong og fantastisk utsikt over Oslo! - Nytt kjøkken og bad. ; Schouterrassen 11, Oslo, Helsfyr - Sinsen ; 30 m² ; 3430000 kr; 114333 ; Totalpris: 3 665 393 kr ; 3 083 kr ; Samsolgt by DNB Eiendom
174952415 ; FROGNER - Eksklusivt i Kruses gate 11 - Nyrenovert luksusleilighet med heis, peis, garasje og 25 kvm terrasse - Felles svømmehall. ; Kruses gate 11, Oslo, Bygdøy - Frogner ; 94 m² ; 16500000 kr; 175532 ; Totalpris: 16 929 070 kr ; 6 207 kr ; PrivatMegleren Dyve & Partnere
174950198 ; Grünerløkka - Klassisk, gjennomgående 3-roms. Unik takhøyde i stue målt til 3 m. Stukkatur og rosett. Crown kjøkken fra 2018. ; Helgesens gate 42D, Oslo, Grünerløkka - Sofienberg ; 65 m² ; 4500000 kr; 69231 ; Fellesutg.: 3 644 kr;0 ; Aktiv Grønland/Bjørvika
174947614 ; HOFF/ABBEDIENGEN - Gjennomgående leilighet i rolige og grønne omgivelser! - 2 sov - 2 uteplasser - Garasje - Heis ; Elmholt Allé 5, Oslo, Ullern ; 72 m² ; 6190000 kr; 85972 ; Totalpris: 6 357 051 kr ; 3 452 kr ; PrivatMegleren Allé
174947088 ; SOFIENBERG - Lekker og stilren 2-roms hjørneleilighet med balkong - Moderne kjøkken - Vv, fyring og fibernett inkl. Flott bakgård! ; Sars gate 64, Oslo, Grünerløkka - Sofienberg ; 50 m² ; 3600000 kr; 72000 ; Totalpris: 3 714 822 kr ; 3 866 kr ; Aktiv Carl Berner
174947020 ; Skøyen - Moderne 3-roms leilighet med attraktiv beliggenhet - Garasje - Heis ; Elmholt Allé 22, Oslo, Ullern ; 75 m² ; 6690000 kr; 89200 ; Totalpris: 6 902 195 kr ; 3 035 kr ; PrivatMegleren Solli & Partnere
174945960 ; #SINSEN/ROSENHOFF - Delikat og moderne 2-roms selveier | Bad fra 2018 | Fyring og v.vann inkl. | IN-ordning | Rolig, men sentralt ; Båhusveien 12, Oslo, Helsfyr - Sinsen ; 40 m² ; 3300000 kr; 82500 ; Totalpris: 3 578 593 kr ; 3 583 kr ; Schala & Partners Bjørvika/Gamle Oslo
174598777 ; Tveita - Arealeffektiv 2-roms endeleilighet. Lekkert bad fra mars 2020. Perfekt førstegangskjøp! Kort vei til T-bane ; Kristins vei 21, Oslo, Hellerud ; 42 m² ; 2850000 kr; 67857 ; Totalpris: 2 997 457 kr ; 2 768 kr ; DNB Eiendom AS
