SEP=,

ID, beskrivelse, adresse, Kvadratmeter, pris, utleier, type bolig , link
150931417,Midtbyen/Ila: Flott rom i bofelleskap til leie. God standard. Redusert leie grunnet Korona,Ilevollen 2 -  Trondheim, 12 m²,3 900 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=150931417,
75907609,Hybel i jente bofelleskap. Osloveien i Trondheim. Nært St. Olav/ NTNU/ Gløshugen,Osloveien 5-7 -  Trondheim, 11 m²,5 100 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=75907609,
99875806,Hybel fra 1.8.20. Kr. 0 - - i dep! Flotte sentrumsnære hybler -  ink RENGJØRING -  Wi-Fi -  strøm & vann,Blusuvoll Alle 5 -  Trondheim, 11 m²,5 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=99875806,
165491098,Stor flott hybel i bofellesskap til leie,Dalheimveien 15 -  Jakobsli, 17 m²,4 900 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=165491098,
73248985,To hybler / leilighet i moderne funkisbolig på Jakobsli / Charlottenlund leies ut fra 01.08.2020,KONGLEVEGEN 19C -  Jakobsli, 15 m²,6 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=73248985,
174689683,Sentral hybel på Kalvskinnet -  nært NTNU og St. Olavs. STRØM inkl. 11A 1.9,ARKITEKT CHRISTIES GATE 11 -  Trondheim, 11 m²,5 200 kr,ByBroen Bolig AS,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174689683,
142337965,Rom til leie i moderne leilighet på Lilleby,Ladveien 19 -  Trondheim, 58 m²,6 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=142337965,
174686588,1 av 4 hybler ledig -  STRØM INKL.Kalvskinnet/NTNU/ St Olavs. 3S 1.9,SVERRES GATE 3 -  Trondheim, 15 m²,5 850 kr,ByBroen Bolig AS,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174686588,
75645469,Leilighet med 3 soverom midt i sentrum. Ledig fra 01.08. 100% nyrestaurert bygg. Skype eller fysisk oppmøte.,Ravelsveita 6 -  Trondheim, 70 m²,18 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=75645469,
101161777,Leilighet på Byåsen,Havstadveien 10 -  Trondheim, 42 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=101161777,
170782545,4 roms nyoppusset sokkelleilighet på nedre Stubban.,Orionvegen 11B -  Trondheim, 73 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=170782545,
174189177,Nærhet til ALT: Nyoppusset og lys med høy standard!,SCHULTZ GATE 5 -  Trondheim, 72 m²,22 000 kr,MONUMENT EIENDOM AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174189177,
133305688,Stor og vakker eiendom 5 min fra St. Olav,Betalt plassering, 185 m²,24 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=133305688,
174190192,5 min fra Solsiden: Sentral -  romslig og lys leilighet!,JON RAUDES GATE 9 B -  Trondheim, 53 m²,12 000 kr,MONUMENT EIENDOM AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174190192,
148211095,2 hybler på kattem egnet til studenter,Brushaneveien -  19H -  Kattem, 11 m²,3 600 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=148211095,
174488718,5 min fra Solsiden: Stor -  lys og lekker leilighet!,JON RAUDES GATE 9 B -  Trondheim, 60 m²,12 000 kr,MONUMENT EIENDOM AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174488718,
174644003,4-roms Nedre Stubban/Nidarvoll -  2 Bad/nytt kjøkken/4rom/Kort vei til Gløshaugen,Orionvegen 14 -  Trondheim, 11 m²,4 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174644003,
165352239,Sokkelleilighet på Heimdal,Lundemobakken 18 -  Heimdal, 70 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=165352239,
174633223,Elgeseter / Øya - Sentral -  møblert 4-roms leilighet med internett og tv ink.,UDBYES GATE 5 -  Trondheim, 84 m²,19 500 kr,Utleiehjelpen AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174633223,
147472013,Sentral 2-roms sokkelleilighet til leie,Weidemanns vei 45 -  Trondheim, 40 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=147472013,
174617232,Godkjent utleie leilighet ledig fortløpende,Lundåsen 34 -  Heimdal, 40 m²,8 000 kr,Husleie.No AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174617232,
174616522,Leilighet sentralt på Byåsen / nær Nyborg skole. Kort vei til offentlig transport,BRODDES VEG 18 -  Trondheim, 55 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174616522,
174612138,Ledig leilighet inkludert parkeringsplass -  internett og kabel TV.,Tiller ringen 102 -  Tiller, 85 m²,10 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174612138,
174617856,Hyggelig sentral leilighet i 2.etg. ledig,Kjøpmannsgata 14 -  Trondheim, 42 m²,9 500 kr,KOTENG EIENDOM AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174617856,
174614376,TRONDHEIM SENTRUM: Lys og romslig 3-roms for 2 venner,KONGENS GATE 66 -  Trondheim, 69 m²,12 500 kr,AHA Eiendom,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174614376,
174614131,Lekker og arealeffektiv 2-roms leilighet på Ila | Korttidsleie | Toppetasje | Hjørneleilighet | Møblert,Hanskemakerbakken 1B -  Trondheim, 30 m²,10 000 kr,Utleiemegleren Trondheim,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174614131,
174602057,Sokkelleilighet til leie,Sigurd Einbus vei 18 -  Trondheim, 60 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174602057,
174606368,Flott 3-roms på Lilleby ledig fra 1. juni,LADEVEIEN 12 -  Trondheim, 50 m²,12 900 kr,Ladeveien AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174606368,
100540851,1 rom (av 5) i bofellesskap ledig fra 1. juli 2020. God standard. 5 min til Solsiden!,Gregus gate 8 -  Trondheim, 14 m²,5 700 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=100540851,
95744943,2 rom (av 3) med god standard ledig fra 1. juli. Sentralt/nære Solsiden!,GREGUS GATE 8 -  Trondheim, 12 m²,5 600 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=95744943,
123163922,Solsiden / Møllenberg: 4 soverom -  Kabel-TV og internett -  Terrasse - ,Gamle Kongevei 6B -  Trondheim, 68 m²,23 200 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=123163922,
174602660,Sentral 3-roms med meget høy standard ledig fra 1. mai,ABELSBORG GATE 10 -  Trondheim, 55 m²,13 500 kr,Rydning Bolig AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174602660,
160115699,Ink. strøm og internett / Oppusset leilighet / Sentralt like ved NTNU og St. Olav,VEISLETTEN ALLE 8 -  Trondheim, 70 m²,5 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=160115699,
79647151,Nyoppusset 2-roms leilighet i 2018 -  fantastisk utsikt -  gode trikk og buss forb.,KRISTOFER UPPDALS VEG 3 -  Trondheim, 45 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=79647151,
174598004,Romslig halvpart med 2 soverom. Internett inkludert. Kort vei til NTNU. Varmepumpe. Parkering. Hage. Gode bussforbindelser.,Loholtbakken 4 -  Trondheim, 95 m²,11 500 kr,Utleiemegleren Trondheim,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174598004,
86657810,STOR SOKKELLEILIGHET I SJETNEMARKA TIL LEIE,SKJETNEMARKVEGEN 42 B -  Sjetnemarka, 82 m²,11 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=86657810,
174583862,Lys -  fin leilighet til leie,Gildheimsvegen10a -  Trondheim, 75 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174583862,
171523323,Lys -  modern -  helt ny oppussing kjellerleilighet -  Parkering plass tilgjengelig. ledig omgående!i,Johan Tillers vei 23 -  Heimdal, 46 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=171523323,
174573275,3 av 5 rom ledig rett ved Berg Studentby,DYBDAHLS VEG 15 B -  Trondheim, 115 m²,5 300 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174573275,
148655592,4av 4 hybler -  1 min til NTNU Elgesæter og 5 min til NTNU Gløshaugen,KLÆBUVEIEN 102 -  Trondheim, 8 m²,5 150 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=148655592,
174562337,Nyoppusset leilighet .,Høyem Prestegardsveg 6 -  Spongdal, 70 m²,8 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174562337,
94397266,Moderne og møblert leilighet med 3 soverom leies ut,KORSGATA 10 -  Trondheim, 65 m²,16 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=94397266,
174567802,Utrolig fin 3-roms med en skjermet og rolig beliggenhet på Nedre Møllenberg. Internett og kabel-TV er inkludert i husleia.,Nedre Møllenberg Gate 38 D -  Trondheim, ikke oppgitt,14 500 kr,Utleiemegleren Trondheim,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174567802,
118600447,Sokkelleilighet i Klæbu,Skjoldvegen -  Klæbu, 55 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=118600447,
102290103,Lys og fin 3-roms leilighet på Hoeggen,HOEGGVEGEN 62B -  Trondheim, 65 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=102290103,
138712667,2 Rom i bofellesskap,Carl Lønseths veg 10 -  Jakobsli, 12 m²,4 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=138712667,
174550825,Leilighet til leie,Lauritz Jenssens gt 4 -  Trondheim, 55 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174550825,
174545186,Moderne ny 2-roms med balkong - 7 min fra Solsiden,Frostaveien 2G -  leil 302 -  Trondheim, 41 m²,11 900 kr,Karl-Ove Bjørnstad Eiendom AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174545186,
174539491,KORTTIDSLEIE 1-3 mnd. Trondheim sentrum. SJARMERENDE 3-ROMS BRYGGELEILIGHET OVER TO PLAN,Fjordgata 46 -  Trondheim, 75 m²,14 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174539491,
98522255,Ny attraktiv leilighet med 3 soverom,Jakob Kjeviks vei 4 -  Trondheim, 70 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=98522255,
174525089,Leilighet til leie,Lindeveien 27 -  Jakobsli, 55 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174525089,
174525204,UTLEID! Hybel med eget kjøkken og balkong. Strøm inkl.NTNU. 3S 3.9,Utleid, 20 m²,Utleid,ByBroen Bolig AS,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174525204,
174521786,2 av 4 rom ledig i rolig kollektiv,Granvegen 11C -  Jakobsli, 7 m²,3 900 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174521786,
95703956,Sentral&ink. Strøm og internet Pen  (2) sokkel til leie,Skyttervegen 22 -  Heimdal, 30 m²,9 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=95703956,
