SEP=,

ID, beskrivelse, adresse, Kvadratmeter, pris, utleier, type bolig , link
174243004,Strand - hybel til leie fra 1. mai,Kvaløya, 18 m²,6 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174243004,
79412424,Stilig leilighet i sjarmerende strøk midt i sentrum (kortidsutleie),Skippergata 6 D -  Tromsø, 63 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=79412424,
131820551,Flott leilighet på 85 kvm i idylliske Ersfjorden,Naustbuktvegen 27 -  Kvaløya, 85 m²,12 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=131820551,
161704649,Delvis møblert hybelleilighet i Tromsø sentrum,Prestenggata 19 -  Tromsø, 25 m²,7 800 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=161704649,
174195158,Enebolig sentralt på Kvaløysletta til leie. Garasje/3 soverom/godt vedlikeholdt/barnevennlig,KVITUNGEVEGEN 20 -  Kvaløysletta, 110 m²,19 500 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174195158,
89436099,Utleie av parkeringsplass i nytt garasjeanlegg ved Prestvannet,Karisvingen/ Prestvannet -  Tromsø, 10 m²,1 100 kr,Privat,Garasje/Parkeringfinn.no/realestate/lettings/ad.html?finnkode=89436099,
174186776,Sentrumsnær leilighet god standard,Dr. Lies gate -  Tromsø, 40 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174186776,
173960430,Hybelleilighet til leie sentralt på Tromøya.,Skagesundveien 12 -  Tromsø, 38 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173960430,
92044697,Ett rom ledig omgående  (Strøm -  internett -  tv er inkl),Garver Eidissens veg 25 -  Tromsø, 9 m²,4 850 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=92044697,
174141764,Stor leilighet med 4 soverom,GARVER EIDISSENS VEG 25 -  Tromsø, 80 m²,16 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174141764,
174136553,Leilighet sentral Tromsdalen,Hans Nilsensvei 20 -  Tromsdalen, 60 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174136553,
150813958,Hus til leie,SKARVEGEN 44 -  Tromsdalen, 75 m²,15 500 kr,Privat,Tomannsboligfinn.no/realestate/lettings/ad.html?finnkode=150813958,
84194760,5-roms Leilighet høy standard-fullt møblert- Nært uit/unn. Hvitevarer,Njords Veg 42 -  Tromsø, 72 m²,20 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=84194760,
111457684,NY 2-roms/3-roms m/ekstra sovealkove 58kvm!!,Kaldslettneset 23 B -  Tromsdalen, 58 m²,11 900 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=111457684,
174089252,Ny pris: Strøken 3-roms toppleilighet til leie på attraktive Workinntoppen,Workinntoppen 11 -  Tromsø, 56 m²,14 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174089252,
174094952,2-roms leilighet på Alfheim - rolig område,Alfheimvegen 33A -  Tromsø, 50 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174094952,
154894726,Treroms på Strandkanten ledig for korttidsleie,HJALMAR JOHANSENS GATE 308 -  Tromsø, 77 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=154894726,
76430411,Studioleilighet i Tromsø sentrum,Elvegata 5F -  Tromsø, 20 m²,7 300 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=76430411,
129401421,Ledig 5/6-20. 3-roms leilighet ytterst på Strandkanten -  panoramautsikt!,Hjalmar Johansens gate 180 -  Tromsø, 60 m²,14 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=129401421,
92839956,Leilighet til leie på Mortensnes -  67 kvm -  ledig fra 1. mai,Styrmannsvegen 21 -  Tromsø, 67 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=92839956,
174027112,Kortidsleie til 1 okt.,Tromsø, 60 m²,12 000 kr,Privat,Rekkehusfinn.no/realestate/lettings/ad.html?finnkode=174027112,
83538008,Flott hybel til leie i rolig område-ikke delt,ilevegen 20 -  Tromsø -  Tromsø, 17 m²,6 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=83538008,
174000890,Stilfull og moderne 4-roms leilighet med parkering i garasje og sentral beliggenhet i Hamna!!,Utleid, 83 m²,Utleid,Sne Eiendomsmegling AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174000890,
83731200,Hybel til leie,Strandsneglevn 2a -  Kvaløya, 22 m²,6 250 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=83731200,
168136369,4-roms leilighet med flott utsikt på Mortensnes,STUERTVEGEN 13 -  Tromsø, 84 m²,16 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=168136369,
165048711,Modern leilighet nær Prestvannet -  106 m2 -  tre soverom -  til korttidsleie,BRINKVEGEN 36 -  Tromsø, 106 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=165048711,
83538008,Flott hybel til leie i rolig område-ikke delt,Betalt plassering, 17 m²,6 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=83538008,
157498668,Vertikaldelt tomannsbolig ved fjæra i Hamna(Solneset),hamneneset 84b -  Tromsø, 103 m²,20 000 kr,Privat,Tomannsboligfinn.no/realestate/lettings/ad.html?finnkode=157498668,
153310563,Sokkelleilighet til leie- leie inkludert strøm,Winston Chuchillsveg 41 -  Tromsø, 49 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=153310563,
173905550,Ny og fin møblert 2-roms leilighet med parkering -  sentralt i Tromsdalen,Sollivegen -  Tromsdalen, 45 m²,11 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173905550,
83793395,Hybelleilighet ledig i Tromsdalen -  fra 15mai eller annen avtale.,Tromsdalen, 24 m²,8 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=83793395,
82506835,Møblert hybel med eget kjøkken og bad m/vaskemasin,MELLOMVEGEN 14 -  Tromsø, 14 m²,7 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=82506835,
173861144,Meget attraktiv kjellerleilighet nært UIT og Sentrum,GRØHOLTVEGEN 13 -  Tromsø, 40 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173861144,
95316937,Hybel  ca.17 m2,Stakkevollvegen 286 -  Tromsø, 17 m²,5 600 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=95316937,
173855157,Leilighet i sokkel,Stakkevollvegen 370 -  Tromsø, 47 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173855157,
150921657,Rom til leie i bofellesskap,BLÅREVSVINGEN 11 -  leil 507 -  Tromsø, 78 m²,6 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=150921657,
80413872,TROMSØYA NORD ! Hybel i ROLIG bofelleskap!Nært til UiT -UNN og sentrum,Tromsø, 12 m²,6 900 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=80413872,
170231072,2-roms leilighet inkl hvitevarer -  Mellon UiT og Sentrum -  med Parkering,BORGERMESTER EIDEMS GATE 2 B -  Tromsø, 50 m²,11 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=170231072,
173802453,Key Ready Apartments -  flexibel periods -  fully furnished -  weekly Fr 9000 NOK,SKIPPERGATA 56 -  Tromsø, 80 m²,19 000 kr,Business Apartments AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173802453,
173801676,Key Ready Apartments -  flexibel periods -  fully furnished -  weekly Fr 9000 NOK,Hjalmar Johansens gate -  Tromsø, 80 m²,20 000 kr,Business Apartments AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173801676,
173801146,Key Ready Apartments -  flexibel periods -  fully furnished -  weekly Fr 9000 NOK,Edderdunvegen -  Tromsø, 80 m²,20 000 kr,Business Apartments AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173801146,
173785690,Attraktiv 3-roms leilighet med spektakulær utsikt. Fullt møblert med parkering!,Mellomveien 39 -  Tromsø, 80 m²,15 000 kr,Winterhouse Apartments As,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173785690,
163539565,Rom i bofellesskap fra 1. dec / 1. jan,Brinkvegen -  Tromsø, 10 m²,5 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=163539565,
173769873,Strøken sokkelleilighet. Gangavstand Sentrum og Uit/UNN,Aldor Ingebrigtsens veg 26 -  Tromsø, 50 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173769873,
173769562,Treroms leilighet midt i sentrum,Grønnegata 13 -  Tromsø, 51 m²,14 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173769562,
173756191,2x short-term rooms available in shared house -  with option to extend to long-term,Bjørnøygata 44 -  Tromsø, 22 m²,6 100 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=173756191,
87608029,Møblert leilighet til leie sentralt i Tromsø.,Tromsø, 65 m²,13 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=87608029,
173333839,Romkamerat søkes.,Lars Hagerups veg 12 -  Tromsø, 7 m²,6 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=173333839,
173136073,Leilighet/enhet i tomannsbolig sentralt på Tomasjord,TOMASJORDVEGEN 48 -  Tomasjord, 45 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173136073,
130823563,Stor 3-roms frontleilighet Bjerkaker -  nydelig beliggenhet,BALSFJORDVINDEN 36 -  Tromsø, 84 m²,14 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=130823563,
173690685,Bolig til Leie midt i hjerte av Tromsø,Skanckesmuget -  13 -  Tromsø, 70 m²,16 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173690685,
172368839,hybel / rom i bofelleskap -  modern blokkleilighet i Tromsø-Strandkanten -  nær Framsenteret,HJALMAR JOHANSENS GATE 33 A -  Tromsø, 12 m²,6 200 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=172368839,
173668391,Moderne to-roms til leie midt i Tromsø Sentrum!,Skippergata 17 -  Tromsø, 45 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173668391,
150065323,Lys 4-roms...eller som 3-roms sokkelleilighet til leie.,LANGBØLGEN 20 -  Tromsø, 90 m²,16 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=150065323,
91028852,Kjempefin 3- roms leilighet med to parkeringsplasser,Midtgårdvegen 44 -  Kvaløya, 75 m²,12 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=91028852,
173635848,Kort eller langtidsleie -  Enebolig med 6 soverom. -  130m2 -  Mortensnes,Tromsø, 135 m²,30 000 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=173635848,
124201016,1 rom i bofellesskap leies ut på Mortensnes,Maskinistveien 9a -  Tromsø, 80 m²,6 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=124201016,
155527140,Sentrumsnær leilighet med garasje leies ut fra 1 Mai,Bodenhoffsveg 15b -  Tromsø, 70 m²,14 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=155527140,
173613253,Hybel til leie på Strand -  Kvaløya,Kvaløya, 28 m²,7 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=173613253,
95714637,3-roms leilighet til leie i Tromsdalen,TH WIDDINGS VEG 50 -  Tromsdalen, 70 m²,11 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=95714637,
173437326,Moderne 2 roms i sentrum -  korttidsleie 1 - 3 mnd. (Fleksibel på leietid),STORGATA 166 -  Tromsø, 48 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173437326,
173527912,WORKINGTOPPING/ Hybel,Workingtoppen 10 -  Tromsø, 27 m²,9 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=173527912,
173458893,3-Roms leilighet i Movika - Delvis møblert,Tønsvikvegen 277 -  Krokelvdalen, 73 m²,12 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173458893,
