SEP=,

ID, beskrivelse, adresse, Kvadratmeter, pris, utleier, type bolig , link
174481894,Liten leilighet til leie på Hinna,Hordaveien -  3 -  Stavanger, 40 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174481894,
174477021,Svært sentralt rom i bofellesskap,PEDERSGATA 135 -  Stavanger, 11 m²,4 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174477021,
122473010,Ny familiebolig på øvre Vaulen/New 5 bedroom house at Vaulen,LALLA CARLSENS GATE 9A -  Stavanger, 186 m²,27 000 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=122473010,
174433877,Balkong -  Sjøutsikt -  Nye møbler og inventar -  Sentralt -  Toppetasje -  Høy standard -  Møblert,VERVEN 2 B -  Stavanger, 40 m²,10 800 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174433877,
142515774,Gausel; fully furnished -  145m²  -  3(4) bedrooms -  close to NATO -  BISS -  Hinna Park,Westergårdveien 6C -  Stavanger, 145 m²,19 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=142515774,
66034170,Rom -  sentralt Stavanger inkl. Strøm,KIRKEBAKKEN 18 -  Stavanger, 10 m²,3 800 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=66034170,
77057445,Hinna Sentralt -  2 min til buss stoppen og universitet i Stavanger,VÅGEDALEN 6 F -  Stavanger, 10 m²,4 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=77057445,
174444448,Rom ledig i lite jentekollektiv - Sentral beliggenhet -  flott leilighet,Nedre Banegate -  Stavanger, 16 m²,6 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174444448,
135644204,Kjellerleilighet til leie sentralt på Gausel,Sølvperleveien 42 -  Stavanger, 56 m²,8 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=135644204,
76970874,ROM LEDIG  Pris inkl strøm -  Internett -  parkering. Veldig rolig og ryddig plass.,JÅTTÅVEIEN 53 -  Stavanger, 10 m²,3 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=76970874,
99559045,Flott topp- og endeleilighet med strålende utsikt og gode solforhold,Rytterhøyden 6 -  Hafrsfjord, 51 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=99559045,
93595845,Leilighet for 1 person ledig Kr. 8000.- inkl. strøm,SKOGSTØVEIEN 36 -  Stavanger, 40 m²,8 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=93595845,
174415214,Sjarmerende leilighet med 1-2 soverom i Stavanger sentrum,Olavskleivå 29 -  Stavanger, 53 m²,8 500 kr,Utleiemegleren Stavanger,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174415214,
174399160,VERVEN-  2 romsleilighet til korttidsleie,Verven 10 -  Stavanger, 73 m²,20 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174399160,
173813093,BJERGSTED - Flott 3-roms leilighet med svært god standard til leie - Fullt møblert - Parkering,SVERDRUPS GATE 34 -  Stavanger, 63 m²,12 750 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173813093,
76888153,Bo sentralt på Storhaug med rask wi-fi,LANGGATA 74 -  Stavanger, 46 m²,9 400 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=76888153,
158187503,Lervig Brygge Pluss - Nyere leilighet i 10 etg. med fantastisk utsikt i et maritimt miljø,Lervigbrygga 128 -  Stavanger, 69 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=158187503,
151820752,STAVANGER ØST Breivikveien 31A Flott umøblert 3-roms leilighet med god standard og fast parkering.,BREIVIKVEIEN 13 -  Stavanger, 68 m²,14 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=151820752,
152475988,Møblert leilighet i Stavanger Øst,BREIVIKVEIEN 17 -  Stavanger, 34 m²,8 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=152475988,
